#{"t_start": 1772323697.021269, "env_id": "None"}
r,l,t,termination_reason
-220.997818,42,1.290385,collision
-224.113308,43,1.365216,collision
-227.171686,48,1.453825,collision
-220.606429,36,1.513944,collision
-220.765105,38,1.576566,collision
-226.010268,46,1.658102,collision
-225.855976,41,1.726154,collision
-222.034913,43,1.797216,collision
-221.51045,38,1.856029,collision
-227.795323,57,1.948145,collision
-223.469035,43,2.017606,collision
-222.498928,41,2.490254,collision
-224.634993,42,2.559917,collision
-229.600659,56,2.662369,collision
-222.863084,44,2.745368,collision
-222.935844,41,2.815881,collision
-231.752906,56,2.919879,collision
-220.020505,42,2.996585,collision
-222.608269,39,3.066454,collision
-223.368543,43,3.14862,collision
-221.546906,49,3.242082,collision
-223.32351,45,3.324594,collision
-224.84158,46,3.414928,collision
-227.006497,50,3.701667,collision
-228.374435,46,3.793413,collision
-227.471234,50,3.891014,collision
-224.018084,43,3.975325,collision
-231.440535,55,4.069277,collision
-224.790134,43,4.139774,collision
-226.178725,52,4.224394,collision
-230.479549,48,4.301552,collision
-224.414412,43,4.368454,collision
-222.460654,43,4.439557,collision
-225.326582,38,4.499637,collision
-220.926619,45,4.735996,collision
-224.563161,43,4.806785,collision
-230.743045,56,4.896943,collision
-222.991096,43,4.963545,collision
-230.711331,62,5.063825,collision
-233.151165,66,5.1691,collision
-226.960746,49,5.247974,collision
-226.073093,46,5.324894,collision
-228.387313,62,5.42455,collision
-227.200127,48,5.667571,collision
-230.034779,58,5.759969,collision
-227.797295,52,5.841004,collision
-233.229712,70,5.953402,collision
-227.164645,46,6.028017,collision
-226.084582,44,6.098731,collision
-231.508459,61,6.196195,collision
-225.727725,50,6.27413,collision
-222.083738,42,6.341377,collision
-226.673522,48,6.416857,collision
-248.466665,123,6.785771,collision
-225.366902,60,6.880758,collision
-226.091485,62,6.978589,collision
-231.719908,66,7.085911,collision
-225.65305,48,7.162344,collision
-226.861219,54,7.248513,collision
-223.568913,47,7.321263,collision
-230.475119,55,7.414337,collision
-229.68526,65,7.690343,collision
-245.511683,131,7.899468,collision
-228.410092,55,7.987684,collision
-237.12601,75,8.105509,collision
-232.828118,63,8.205873,collision
-231.30728,72,8.321333,collision
-235.076158,59,8.415696,collision
-226.950617,46,8.652118,collision
-234.77715,84,8.786492,collision
-226.616902,63,8.886255,collision
-243.977115,109,9.060063,collision
-231.51043,76,9.178601,collision
-238.335065,78,9.304357,collision
-249.330746,112,9.662561,collision
-258.862552,132,9.86806,collision
-242.390244,95,10.017491,collision
-225.731551,59,10.107577,collision
-226.664454,60,10.20056,collision
-244.314567,121,10.39355,collision
-238.239205,78,10.687418,collision
-244.919668,109,10.863996,collision
-289.728001,245,11.250297,collision
-282.247347,226,11.774086,collision
-250.239845,185,12.063694,collision
-266.444569,191,12.359913,collision
-259.13721,237,12.920923,collision
-276.506933,269,13.340818,collision
-245.518064,192,13.812661,collision
-248.037305,183,14.095196,collision
-259.374664,215,14.591827,collision
-220.647697,201,14.904812,collision
-258.980546,228,15.257244,collision
-245.000089,206,15.743955,collision
-235.905459,186,16.04087,collision
-232.478057,177,16.482426,collision
-221.30414,172,16.761768,collision
-243.770098,213,17.096946,collision
-216.138475,188,17.559091,collision
-238.470759,183,17.847598,collision
-213.667126,183,18.135795,collision
-252.266797,194,18.60584,collision
-241.677391,185,18.894615,collision
-239.382165,205,19.379937,collision
-214.617116,137,19.596041,collision
-212.592687,167,19.857274,collision
-239.05892,196,20.362554,collision
-227.220568,180,20.752902,collision
-228.490644,161,21.025038,collision
-216.471471,185,21.48279,collision
-195.65461,183,21.770031,collision
-230.398452,184,22.060532,collision
-219.221379,153,22.476961,collision
-237.173304,197,22.796599,collision
-228.916087,190,23.133991,collision
-233.925967,125,23.554185,collision
-206.760846,164,23.812286,collision
-207.583631,160,24.075453,collision
-210.129951,185,24.633029,collision
-203.289284,178,24.990231,collision
-208.345005,200,25.335988,collision
-193.457471,166,25.800113,collision
-218.056383,177,26.101298,collision
-210.625111,171,26.406637,collision
-213.727852,169,26.85753,collision
-218.33544,179,27.191944,collision
-217.554133,169,27.489582,collision
-208.073068,180,27.983233,collision
-199.82051,164,28.248332,collision
-224.237006,197,28.570884,collision
-219.285562,179,29.061972,collision
-201.602959,166,29.344902,collision
-235.486784,184,29.639282,collision
-231.434584,167,30.112959,collision
-235.685632,182,30.419953,collision
