#{"t_start": 1772323697.052565, "env_id": "None"}
r,l,t,termination_reason
-227.775023,49,1.272151,collision
-224.059749,39,1.339824,collision
-225.772914,46,1.424894,collision
-222.011951,41,1.492704,collision
-221.572612,39,1.558144,collision
-224.68702,44,1.634646,collision
-223.957295,38,1.699693,collision
-227.569675,44,1.770385,collision
-225.85253,45,1.841964,collision
-228.947086,49,1.920086,collision
-221.303993,36,1.977283,collision
-228.53276,53,2.470077,collision
-222.101755,39,2.535348,collision
-227.41069,52,2.630723,collision
-222.832861,43,2.712343,collision
-223.205617,40,2.779684,collision
-228.682053,61,2.89377,collision
-224.231573,44,2.974504,collision
-225.305085,45,3.055918,collision
-230.530469,59,3.169342,collision
-225.749979,47,3.258097,collision
-226.481364,46,3.340615,collision
-227.413327,57,3.644425,collision
-229.147208,58,3.759679,collision
-223.90396,45,3.846928,collision
-221.188255,44,3.933461,collision
-228.253963,50,4.021664,collision
-224.512797,49,4.101163,collision
-224.193338,48,4.180843,collision
-227.18701,48,4.255937,collision
-225.604558,52,4.338783,collision
-230.704304,59,4.433873,collision
-222.773801,48,4.675055,collision
-225.000821,48,4.751335,collision
-224.512931,44,4.824117,collision
-223.957304,53,4.909539,collision
-227.970183,49,4.985391,collision
-225.361312,53,5.071661,collision
-225.399318,47,5.147666,collision
-222.969082,45,5.219936,collision
-224.448301,43,5.291552,collision
-231.424478,56,5.381429,collision
-226.83847,52,5.466544,collision
-223.283908,42,5.697948,collision
-224.883089,45,5.769138,collision
-227.51621,50,5.847244,collision
-235.947038,64,5.951253,collision
-235.243939,57,6.044595,collision
-229.495408,59,6.137467,collision
-231.758328,62,6.234884,collision
-227.028472,50,6.314507,collision
-232.133792,57,6.406147,collision
-234.323545,64,6.68012,collision
-235.190625,70,6.790375,collision
-227.387098,58,6.881786,collision
-225.469298,49,6.960624,collision
-232.874382,66,7.067594,collision
-228.795637,56,7.157725,collision
-227.725225,52,7.239293,collision
-229.616608,66,7.34585,collision
-232.209587,63,7.621085,collision
-243.103825,92,7.76734,collision
-231.076034,61,7.86498,collision
-225.706153,61,7.962389,collision
-229.876539,63,8.060827,collision
-237.785653,91,8.205934,collision
-227.305507,57,8.298037,collision
-231.841147,61,8.395648,collision
-236.233267,98,8.714035,collision
-234.552442,71,8.8289,collision
-264.360968,126,9.028724,collision
-249.883397,98,9.181632,collision
-234.840179,88,9.322772,collision
-256.855971,137,9.719053,collision
-260.21997,139,9.937569,collision
-284.631697,223,10.284176,collision
-243.914474,108,10.62711,collision
-298.164008,233,11.001881,collision
-254.862866,145,11.228088,collision
-245.141271,109,11.567285,collision
-251.469271,196,11.876644,collision
-263.387405,199,12.187509,collision
-261.916725,234,12.738437,collision
-268.777219,219,13.083266,collision
-281.948824,230,13.60939,collision
-231.811153,166,13.871059,collision
-248.524941,222,14.215352,collision
-259.438632,255,14.776216,collision
-238.628752,201,15.088169,collision
-237.609807,225,15.597051,collision
-232.32272,187,15.895258,collision
-220.538141,171,16.168484,collision
-253.016266,206,16.661668,collision
-221.519962,164,16.924044,collision
-241.329585,202,17.405775,collision
-235.09352,179,17.689786,collision
-256.694049,217,18.028749,collision
-243.619497,206,18.519468,collision
-218.777702,162,18.772705,collision
-222.828212,168,19.032648,collision
-212.496037,171,19.466738,collision
-214.591763,169,19.731818,collision
-235.081413,148,19.968556,collision
-234.81097,175,20.511834,collision
-223.207857,171,20.813584,collision
-201.305487,125,21.030935,collision
-221.345984,154,21.438689,collision
-256.655555,219,21.782547,collision
-230.627742,168,22.048565,collision
-241.876665,182,22.512941,collision
-250.814433,184,22.811067,collision
-236.744727,167,23.111506,collision
-215.593031,167,23.597237,collision
-224.205797,168,23.866283,collision
-225.916545,178,24.151118,collision
-221.816262,188,24.746752,collision
-186.729041,153,25.037847,collision
-224.293092,201,25.393097,collision
-215.098879,170,25.851335,collision
-214.876698,179,26.175085,collision
-206.693577,172,26.469707,collision
-216.953876,175,26.929229,collision
-203.346667,166,27.242953,collision
-236.849116,172,27.545979,collision
-222.747265,154,27.993265,collision
-218.851062,171,28.268816,collision
-240.187006,177,28.562071,collision
-223.998079,147,28.9951,collision
-228.678202,181,29.302617,collision
-218.938661,170,29.577753,collision
-218.427832,177,30.067176,collision
-233.265965,179,30.368134,collision
-212.978394,198,30.688473,collision
-188.883084,174,31.185844,collision
-235.780789,172,31.481158,collision
-190.104078,161,31.78339,collision
-215.217296,164,32.29554,collision
-215.738941,164,32.617529,collision
-207.869377,175,32.915619,collision
-238.464106,158,33.340841,collision
-232.792968,195,33.732035,collision
-222.103449,181,34.172327,collision
-242.086164,170,34.689443,collision
-212.180577,201,35.098865,collision
-200.417272,199,35.694169,collision
-200.683635,201,36.053866,collision
-220.88272,133,36.274609,collision
-210.967041,191,36.870377,collision
-201.649581,189,37.212611,collision
-211.83205,196,37.554546,collision
-204.283141,105,37.974676,collision
-199.142642,188,38.287137,collision
-212.627634,197,38.608534,collision
-210.338506,212,39.140642,collision
-215.369126,187,39.435856,collision
-216.485479,178,39.726201,collision
-243.581544,187,40.19137,collision
-243.246996,145,40.423352,collision
-245.983562,149,40.658093,collision
-232.279338,98,40.983477,collision
-236.923403,165,41.24974,collision
-244.176302,156,41.531357,collision
-242.595241,154,41.782966,collision
-225.203633,77,42.084333,collision
-239.030898,153,42.330651,collision
-247.665292,153,42.584627,collision
-245.960872,182,43.047603,collision
-248.619999,162,43.300934,collision
-236.348213,168,43.572083,collision
-246.753834,153,43.984283,collision
-251.067778,202,44.325054,collision
-235.689747,167,44.605433,collision
-236.160855,194,45.084944,collision
-210.184375,120,45.269613,collision
-238.314884,189,45.572706,collision
-231.123452,195,46.053331,collision
-238.393568,181,46.343349,collision
-249.433782,202,46.663695,collision
-230.249943,196,47.13209,collision
-203.099615,115,47.316719,collision
-217.637941,172,47.588655,collision
-216.339393,155,47.996952,collision
-218.753215,168,48.264683,collision
-207.276396,169,48.532638,collision
-221.082441,169,48.982266,collision
-205.991844,168,49.262942,collision
-217.807912,162,49.52648,collision
-204.452383,178,49.992836,collision
-196.278226,175,50.288194,collision
-217.838003,167,50.632989,collision
-204.731327,165,51.125104,collision
-191.459404,168,51.394564,collision
-195.980265,153,51.641875,collision
-193.264184,155,52.059495,collision
-203.836033,152,52.308628,collision
-189.24317,149,52.548023,collision
-187.26305,150,52.790388,collision
-189.755264,140,53.184545,collision
-182.896525,141,53.409921,collision
-191.640999,137,53.641585,collision
-189.10606,152,54.069906,collision
-206.328115,142,54.300587,collision
-202.673386,151,54.560577,collision
-199.923085,153,54.803882,collision
-183.630758,155,55.228954,collision
-205.890772,158,55.484457,collision
-230.582441,150,55.723449,collision
-183.556422,156,56.139927,collision
-187.379594,151,56.378719,collision
-199.162277,140,56.598344,collision
-189.510852,161,56.855545,collision
-189.72459,158,57.316117,collision
-181.891543,151,57.562373,collision
-182.34566,144,57.818521,collision
-183.47227,142,58.212176,collision
-192.132937,171,58.484123,collision
-177.302285,146,58.713964,collision
-182.439982,147,59.110605,collision
235.605259,135,59.321758,success
-180.054469,146,59.554509,collision
-181.626433,160,59.81022,collision
-185.544036,153,60.216952,collision
-171.347635,128,60.422283,collision
-184.644337,147,60.654257,collision
-179.3495,145,61.051642,collision
-169.183094,131,61.254561,collision
-188.630812,142,61.480832,collision
-178.228661,151,61.729622,collision
-179.208326,136,62.107042,collision
-162.637635,130,62.312198,collision
-173.643603,139,62.53609,collision
-183.98985,155,62.785028,collision
-183.712472,146,63.181045,collision
-176.328281,145,63.410254,collision
-183.892669,147,63.645461,collision
-182.723113,150,64.053818,collision
