#{"t_start": 1772323696.8541048, "env_id": "None"}
r,l,t,termination_reason
-221.811001,42,1.457444,collision
-223.342205,40,1.527067,collision
-223.72969,39,1.597836,collision
-224.479488,48,1.680979,collision
-223.785213,38,1.743723,collision
-225.406759,44,1.820512,collision
-225.860544,44,1.894964,collision
-226.190934,44,1.967261,collision
-224.499851,43,2.035163,collision
-221.149108,39,2.097025,collision
-224.344722,42,2.165393,collision
-223.224382,44,2.23658,collision
-225.811858,46,2.716831,collision
-228.277552,59,2.825459,collision
-224.97379,45,2.910882,collision
-223.087224,48,2.993261,collision
-223.892561,48,3.08269,collision
-224.874565,43,3.161742,collision
-222.174073,43,3.239291,collision
-223.246508,41,3.317583,collision
-224.331286,40,3.393356,collision
-228.078702,45,3.478476,collision
-225.130963,54,3.581896,collision
-227.349492,51,3.870833,collision
-227.148404,54,3.977962,collision
-225.711242,46,4.071558,collision
-226.282419,53,4.173706,collision
-227.551076,61,4.271712,collision
-227.153279,51,4.354717,collision
-223.075189,43,4.423317,collision
-224.009717,43,4.491923,collision
-225.85615,54,4.579432,collision
-226.876668,50,4.657845,collision
-225.035617,49,4.901609,collision
-223.825884,52,4.98627,collision
-222.291309,41,5.052847,collision
-220.557787,47,5.126226,collision
-227.634542,48,5.201745,collision
-222.457053,42,5.270133,collision
-223.943208,45,5.342937,collision
-225.030923,46,5.416901,collision
-229.33153,61,5.517134,collision
-225.271004,54,5.605104,collision
-232.082609,70,5.883268,collision
-226.241136,61,5.979579,collision
-227.09134,50,6.057795,collision
-226.017059,52,6.141412,collision
-228.143763,56,6.233285,collision
-230.570414,58,6.324608,collision
-228.808709,58,6.41597,collision
-221.853355,46,6.489289,collision
-222.669069,40,6.552669,collision
-226.100443,58,6.644009,collision
-243.028432,102,6.979448,collision
-224.3511,49,7.057335,collision
-228.577612,62,7.15601,collision
-230.404099,62,7.256389,collision
-225.079983,53,7.341598,collision
-227.125707,61,7.437779,collision
-226.079366,51,7.518573,collision
-231.95462,67,7.630403,collision
-226.481389,52,7.884262,collision
-237.481544,77,8.008915,collision
-232.433134,73,8.123863,collision
-230.57359,79,8.24893,collision
-231.515474,73,8.365395,collision
-236.496088,72,8.480506,collision
-240.855815,80,8.607763,collision
-231.420392,66,8.87741,collision
-254.780836,162,9.134526,collision
-238.156168,78,9.25828,collision
-228.667827,53,9.341021,collision
-229.316861,75,9.462102,collision
-230.606045,56,9.549195,collision
-232.836398,68,9.839359,collision
-251.203324,128,10.038246,collision
-254.695736,113,10.214885,collision
-278.437253,186,10.503958,collision
-261.575187,148,10.911039,collision
-261.916143,222,11.267822,collision
-231.404693,85,11.401669,collision
-286.303378,206,11.8925,collision
-251.943046,179,12.174974,collision
-255.147737,204,12.490917,collision
-262.773854,211,13.008188,collision
-250.617761,229,13.367236,collision
-307.583426,278,13.972755,collision
-250.683027,199,14.281734,collision
-246.15436,229,14.801293,collision
-249.256254,209,15.125081,collision
-264.370234,223,15.631704,collision
-246.932457,224,15.983416,collision
-214.956721,136,16.201456,collision
-239.5352,169,16.632868,collision
-227.474002,185,16.932143,collision
-248.39929,183,17.221209,collision
-220.882112,178,17.665658,collision
-232.2912,213,18.002754,collision
-234.281882,189,18.298824,collision
-234.83358,161,18.717916,collision
-248.247927,192,19.018337,collision
-206.796074,174,19.288585,collision
-214.231803,153,19.693344,collision
-227.773772,169,19.959245,collision
-228.892647,182,20.249137,collision
-226.860127,175,20.826927,collision
-225.233444,169,21.109946,collision
-239.104937,173,21.382195,collision
-240.032086,188,21.84502,collision
-226.782946,188,22.141064,collision
-225.071239,183,22.602595,collision
-205.71812,160,22.859087,collision
-224.94698,187,23.185818,collision
-201.029485,167,23.679137,collision
-224.791637,171,23.95465,collision
-222.014176,171,24.234547,collision
-226.988982,179,24.78023,collision
-203.653288,162,25.101359,collision
-200.396477,167,25.403259,collision
-212.020233,171,25.875461,collision
-201.457104,170,26.151792,collision
-220.212416,168,26.465344,collision
-218.23665,177,26.930416,collision
-235.845813,157,27.198309,collision
-225.898289,185,27.538867,collision
-218.537165,67,27.665553,collision
-225.689353,159,28.12352,collision
-219.340242,170,28.397326,collision
-211.988234,169,28.672659,collision
-213.304597,101,28.850884,collision
-222.833225,185,29.345751,collision
-203.734853,161,29.61682,collision
-247.285617,190,30.106463,collision
-205.370296,186,30.428895,collision
-217.192894,165,30.706216,collision
-201.169841,170,31.194538,collision
-214.110723,187,31.495052,collision
-223.821152,210,31.895973,collision
-221.832651,156,32.365373,collision
-191.417756,181,32.745339,collision
-211.536499,155,33.002063,collision
-195.257808,167,33.44831,collision
-211.818331,159,33.755114,collision
-196.946624,191,34.219342,collision
-198.070791,165,34.707101,collision
-197.042744,158,35.037092,collision
-184.582021,175,35.37604,collision
-202.23105,189,35.965796,collision
-208.371937,184,36.280582,collision
-202.60176,184,36.677614,collision
-196.848819,180,37.162663,collision
-201.634022,182,37.517182,collision
-207.301287,194,37.858991,collision
-202.564787,195,38.403633,collision
-209.039211,195,38.722885,collision
-203.603955,189,39.221717,collision
212.496184,179,39.503138,success
-214.477559,220,39.856548,collision
