#{"t_start": 1772323696.9333851, "env_id": "None"}
r,l,t,termination_reason
-223.760472,43,1.38051,collision
-224.808246,42,1.453259,collision
-224.114322,40,1.525574,collision
-223.562153,37,1.589499,collision
-225.224113,48,1.669802,collision
-224.106793,43,1.745887,collision
-224.132414,46,1.824121,collision
-221.151238,42,1.89124,collision
-224.905246,43,1.959664,collision
-224.713301,47,2.033624,collision
-224.472977,49,2.113256,collision
-231.363612,63,2.619872,collision
-228.22306,52,2.71631,collision
-226.843768,54,2.818381,collision
-224.884546,44,2.892178,collision
-226.818139,49,2.982333,collision
-224.158998,41,3.058263,collision
-222.207146,42,3.135592,collision
-227.161711,52,3.232798,collision
-224.882385,46,3.319901,collision
-223.871469,40,3.395629,collision
-225.96167,48,3.486694,collision
-225.017769,44,3.762018,collision
-235.463008,64,3.888523,collision
-230.041092,53,3.996268,collision
-226.170409,47,4.087249,collision
-219.68969,38,4.147771,collision
-222.822505,38,4.209831,collision
-227.23692,49,4.291471,collision
-228.953109,55,4.377093,collision
-222.258582,45,4.448762,collision
-228.075566,52,4.533636,collision
-228.404563,60,4.792724,collision
-228.756318,55,4.880136,collision
-225.11742,56,4.973649,collision
-226.029427,56,5.060709,collision
-222.539492,40,5.124575,collision
-229.260915,60,5.221968,collision
-223.912126,44,5.291007,collision
-227.26976,44,5.362856,collision
-223.912924,44,5.436147,collision
-227.868905,55,5.526128,collision
-225.812684,56,5.780622,collision
-230.044965,53,5.865536,collision
-228.756556,58,5.955026,collision
-226.173487,55,6.044996,collision
-230.689041,58,6.140054,collision
-232.325346,65,6.242496,collision
-232.140334,60,6.336415,collision
-229.835181,64,6.43838,collision
-228.890801,48,6.515941,collision
-227.279573,48,6.765301,collision
-227.349726,58,6.855157,collision
-225.405063,49,6.934104,collision
-231.3109,66,7.037752,collision
-232.79456,64,7.140067,collision
-226.235853,51,7.223755,collision
-227.325657,54,7.309883,collision
-230.613846,76,7.430372,collision
-226.87556,53,7.518497,collision
-236.981808,90,7.835093,collision
-244.825783,126,8.033741,collision
-240.14856,76,8.155161,collision
-239.304568,80,8.283224,collision
-236.258462,64,8.383966,collision
-242.1199,88,8.525477,collision
-227.989235,62,8.78889,collision
-235.074435,74,8.905097,collision
-230.103531,72,9.01916,collision
-239.532137,87,9.159621,collision
-233.495998,77,9.279725,collision
-239.709882,83,9.41186,collision
-239.005132,99,9.750771,collision
-226.359375,70,9.85931,collision
-264.121645,176,10.134117,collision
-263.090298,145,10.359048,collision
-307.065965,251,10.93237,collision
-278.059076,199,11.248791,collision
-235.101875,73,11.361712,collision
-256.646194,168,11.794841,collision
-256.212541,212,12.12788,collision
-241.257111,213,12.458253,collision
-271.077425,236,13.017212,collision
-243.037875,201,13.331174,collision
-239.566819,185,13.785923,collision
-249.126062,216,14.127493,collision
-262.45573,219,14.627348,collision
-257.759433,225,14.97858,collision
-250.031496,190,15.273612,collision
-250.076698,199,15.746278,collision
-229.966649,180,16.031188,collision
-244.864505,182,16.32166,collision
