#{"t_start": 1772323696.9902997, "env_id": "None"}
r,l,t,termination_reason
-226.158525,48,1.332857,collision
-222.764484,39,1.39951,collision
-225.016676,40,1.472533,collision
-220.052813,39,1.539897,collision
-224.572789,50,1.625057,collision
-227.935105,48,1.707123,collision
-226.22532,45,1.784398,collision
-223.613517,39,1.845109,collision
-219.489703,35,1.901024,collision
-224.503626,47,1.974925,collision
-224.263096,42,2.042609,collision
-224.314772,48,2.527859,collision
-228.557156,57,2.625763,collision
-222.651463,45,2.709926,collision
-221.560223,42,2.785434,collision
-224.373451,43,2.860672,collision
-224.351527,47,2.948465,collision
-220.477579,38,3.017714,collision
-220.318622,37,3.085613,collision
-226.134038,45,3.170455,collision
-226.82269,46,3.257369,collision
-224.572039,45,3.342288,collision
-221.399553,41,3.417835,collision
-226.715636,44,3.696204,collision
-229.288039,55,3.803678,collision
-223.357442,41,3.882666,collision
-226.155814,53,3.988374,collision
-229.445739,65,4.101884,collision
-227.900168,54,4.19206,collision
-232.658356,57,4.282473,collision
-225.882731,47,4.357524,collision
-227.672795,49,4.436776,collision
-227.161362,53,4.519958,collision
-224.723489,58,4.778074,collision
-226.014172,48,4.856289,collision
-229.289133,56,4.947796,collision
-224.131707,46,5.017096,collision
-227.715189,50,5.100185,collision
-234.276206,64,5.201941,collision
-228.428105,50,5.282324,collision
-227.100347,50,5.364887,collision
-232.674126,58,5.458674,collision
-233.006644,62,5.723689,collision
-223.93654,47,5.79908,collision
-237.930342,95,5.949467,collision
-234.252293,66,6.055809,collision
-228.960805,58,6.149719,collision
-230.769269,54,6.234879,collision
-227.153703,55,6.32098,collision
-230.080844,58,6.413296,collision
-224.596547,47,6.487715,collision
-231.641273,59,6.755956,collision
-226.881121,49,6.832425,collision
-253.135418,116,7.016691,collision
-228.668998,60,7.112116,collision
-223.397776,44,7.183806,collision
-227.408334,56,7.273297,collision
-232.944557,70,7.383923,collision
-232.878368,71,7.502571,collision
-232.113037,72,7.78946,collision
-241.164958,95,7.93934,collision
-233.110137,67,8.045845,collision
-228.812277,53,8.129777,collision
-226.410456,54,8.216062,collision
-255.317692,122,8.412776,collision
-225.718531,53,8.657646,collision
-239.13821,92,8.806149,collision
-233.253019,73,8.921945,collision
-234.339368,69,9.032842,collision
-240.099052,97,9.184633,collision
-235.417265,80,9.312219,collision
-233.550124,70,9.422851,collision
-254.31884,129,9.806892,collision
-249.386828,132,10.015079,collision
-243.075699,95,10.160913,collision
-249.710699,112,10.335345,collision
-304.868186,270,10.941581,collision
-231.911692,68,11.048933,collision
-251.189574,195,11.3544,collision
-252.255012,159,11.771745,collision
-289.698692,246,12.15834,collision
-277.306112,246,12.726046,collision
-278.495281,233,13.095197,collision
-242.420336,191,13.39228,collision
-255.830014,249,13.951048,collision
-244.210651,168,14.210881,collision
-255.823313,222,14.719916,collision
-240.433153,165,14.976852,collision
-228.465495,147,15.204481,collision
-269.845965,202,15.680983,collision
-227.45606,191,15.983645,collision
-248.561085,209,16.480404,collision
-220.500249,171,16.754158,collision
-225.802047,176,17.035184,collision
-224.48156,183,17.487389,collision
-221.002341,194,17.794832,collision
-235.947297,194,18.099364,collision
-219.453612,187,18.558063,collision
-216.96496,186,18.848836,collision
-241.990251,171,19.115107,collision
-227.538646,169,19.544892,collision
-225.589863,176,19.821473,collision
-229.129394,171,20.092571,collision
-218.779235,188,20.69236,collision
-233.717285,187,21.004411,collision
-235.567271,179,21.285121,collision
-227.936874,186,21.744775,collision
-226.333716,166,22.006912,collision
-221.723747,156,22.254275,collision
-214.786786,140,22.650189,collision
-237.357429,187,22.966849,collision
-197.208166,187,23.322738,collision
-202.167699,166,23.771117,collision
-199.990751,177,24.057194,collision
-204.676832,182,24.37689,collision
-208.21422,180,24.958817,collision
-223.991466,176,25.274885,collision
-203.806924,206,25.80803,collision
-226.590405,163,26.077596,collision
-208.160818,164,26.378529,collision
-197.619885,190,26.863486,collision
-206.256731,148,27.12787,collision
-203.392642,166,27.427689,collision
-227.421696,187,27.944025,collision
-218.579509,76,28.071245,collision
-211.989346,169,28.342059,collision
-219.02314,171,28.626591,collision
-224.184001,168,29.097254,collision
-198.433853,156,29.358644,collision
-225.1578,200,29.682863,collision
-225.967741,206,30.22366,collision
-221.868341,168,30.505566,collision
-230.491198,189,31.026885,collision
-214.536089,169,31.302788,collision
-217.028855,186,31.65212,collision
-223.96664,186,32.173537,collision
-195.274882,180,32.553341,collision
-201.033063,173,32.841905,collision
-223.035714,154,33.268462,collision
-205.948213,183,33.611991,collision
-203.562029,151,33.925821,collision
-220.43224,187,34.531697,collision
-204.414667,179,34.90111,collision
-222.609998,201,35.288767,collision
-226.138697,199,35.894546,collision
-195.593474,176,36.187595,collision
-188.749343,185,36.616479,collision
-231.296654,177,37.071872,collision
-198.475921,151,37.372688,collision
-208.711107,193,37.707718,collision
-215.001363,206,38.27525,collision
-206.358305,114,38.462704,collision
-216.750696,200,38.786552,collision
-216.06385,193,39.288917,collision
196.981652,202,39.607039,success
-193.940474,188,40.077165,collision
-243.062863,135,40.295322,collision
-241.317318,162,40.554209,collision
-242.307713,128,40.757403,collision
-246.207108,150,41.16369,collision
-238.748875,151,41.420752,collision
-224.001455,134,41.652116,collision
-239.20109,176,42.119574,collision
-239.812412,148,42.357749,collision
-250.494322,206,42.697078,collision
-227.809608,105,43.03792,collision
-243.941247,144,43.262309,collision
-248.17058,194,43.572181,collision
-238.218532,126,43.778048,collision
-243.912625,163,44.204088,collision
