#{"t_start": 1772323696.7707138, "env_id": "None"}
r,l,t,termination_reason
-204.486351,106,52.51734,collision
-200.846258,105,52.689096,collision
-202.616197,158,52.941772,collision
-197.836056,157,53.363024,collision
-197.156574,146,53.599031,collision
-187.344466,148,53.838636,collision
-191.055422,137,54.082695,collision
-191.708038,141,54.482875,collision
-185.495174,154,54.74018,collision
-187.241334,149,54.986113,collision
-200.655892,155,55.410225,collision
-206.34429,158,55.662922,collision
-188.262897,153,55.910717,collision
-195.423593,145,56.143355,collision
-189.076897,155,56.555259,collision
-188.255178,147,56.785119,collision
-185.574781,147,57.019943,collision
-184.781396,148,57.447436,collision
-182.651353,141,57.693847,collision
-185.295483,148,57.949915,collision
-188.109512,147,58.194092,collision
-178.832694,144,58.591827,collision
-183.595344,146,58.81794,collision
-179.849316,148,59.054902,collision
-178.654941,151,59.454012,collision
-195.771148,100,59.610885,collision
-181.426111,152,59.853316,collision
-175.478513,153,60.097795,collision
-182.586737,152,60.503655,collision
-173.161958,143,60.732212,collision
-177.982897,147,60.964689,collision
-182.435781,139,61.351551,collision
-182.61109,156,61.596818,collision
-180.288659,137,61.819118,collision
-172.387322,145,62.052108,collision
-169.990636,140,62.43564,collision
-175.782091,149,62.67479,collision
-176.411523,145,62.905437,collision
-177.51599,148,63.306376,collision
-174.351854,140,63.528803,collision
233.171529,139,63.748898,success
-170.831725,131,63.959788,collision
-177.155659,144,64.356203,collision
-176.660922,146,64.586831,collision
-172.993068,134,64.796457,collision
-167.501746,140,65.02404,collision
239.053572,132,65.394727,success
231.144429,148,65.626182,success
-167.745812,135,65.838659,collision
243.598821,122,66.030705,success
235.583062,139,66.424179,success
243.62607,124,66.617757,success
-164.266832,136,66.831132,collision
-166.655511,145,67.236718,collision
-207.86275,53,67.323031,collision
238.593966,129,67.528985,success
241.794208,124,67.723217,success
-168.491487,130,67.93832,collision
-166.435314,138,68.330317,collision
242.751186,128,68.529914,success
242.614508,128,68.751953,success
-196.837692,75,68.872211,collision
-166.941283,141,69.294251,collision
238.90834,129,69.564794,success
-208.778145,54,69.653147,collision
-199.675766,76,69.770564,collision
240.583615,123,69.964026,success
242.140485,125,70.332638,success
244.364697,120,70.518538,success
239.231479,125,70.711904,success
242.61712,120,70.903677,success
242.113228,119,71.256953,success
242.852966,115,71.437097,success
237.777442,124,71.627108,success
243.151359,121,71.815113,success
-161.176165,128,72.013996,collision
245.279578,117,72.40168,success
241.817556,115,72.591281,success
-161.279955,126,72.792854,collision
247.606008,112,72.994375,success
-191.295692,74,73.279933,collision
240.571891,119,73.478348,success
239.441722,125,73.692002,success
-167.233774,134,73.906357,collision
-161.593448,127,74.28667,collision
245.281245,111,74.468918,success
246.641621,118,74.657788,success
240.878717,118,74.848915,success
247.419045,111,75.030631,success
234.616251,126,75.406286,success
242.045998,121,75.598739,success
249.438871,114,75.777283,success
242.22284,119,75.968211,success
244.512236,114,76.309303,success
-196.395433,70,76.422072,collision
237.220474,125,76.624634,success
-193.254252,63,76.722802,collision
241.202946,115,76.909551,success
-193.369996,72,77.026121,collision
244.549938,115,77.381339,success
243.345567,111,77.565105,success
250.205461,113,77.757736,success
-161.859571,118,77.959108,collision
247.827371,108,78.29651,success
-155.280955,115,78.480153,collision
246.216335,109,78.679517,success
-157.385591,115,78.870249,collision
244.470562,109,79.050566,success
241.952572,112,79.417786,success
248.104137,108,79.596122,success
240.885877,115,79.778735,success
247.555239,111,79.975937,success
243.410314,113,80.338084,success
244.140284,112,80.514667,success
-156.941773,113,80.761223,collision
251.870313,102,80.92995,success
249.98674,108,81.103675,success
244.375376,112,81.468349,success
251.831019,102,81.646834,success
246.51415,107,81.822323,success
245.019782,112,82.001204,success
254.03012,105,82.176428,success
244.896811,110,82.528278,success
252.285733,102,82.68841,success
247.944872,110,82.862424,success
251.291795,109,83.041044,success
251.383964,106,83.216116,success
247.798485,105,83.565412,success
-155.583414,109,83.739009,collision
255.477068,102,83.908664,success
247.365528,106,84.076096,success
248.021276,109,84.436022,success
253.799147,101,84.627486,success
246.635937,101,84.787527,success
244.480293,105,84.969319,success
250.067008,105,85.164865,success
252.943186,100,85.491772,success
251.478694,100,85.651564,success
248.982199,103,85.821232,success
252.018727,99,85.983958,success
251.703055,99,86.139822,success
247.503121,105,86.48342,success
253.089171,107,86.659287,success
248.029685,102,86.829049,success
254.577304,96,86.980932,success
254.253861,95,87.133243,success
249.211519,103,87.297049,success
255.594005,93,87.61321,success
250.713591,105,87.782717,success
252.374201,98,87.945082,success
253.906754,96,88.100074,success
254.597236,97,88.255538,success
254.142382,96,88.570168,success
250.671656,100,88.727834,success
252.173993,96,88.882982,success
253.593516,95,89.050477,success
254.554378,94,89.223175,success
252.673934,96,89.571198,success
252.51724,96,89.721596,success
254.890224,93,89.866659,success
253.051911,92,90.020315,success
257.772938,91,90.194222,success
252.136658,96,90.345719,success
256.932554,90,90.657327,success
257.529907,90,90.80408,success
258.767725,90,90.947482,success
255.393064,89,91.092702,success
251.132224,94,91.242026,success
256.049259,88,91.549022,success
255.093364,88,91.690358,success
252.266425,92,91.835945,success
256.876433,88,91.976386,success
253.137552,90,92.120864,success
251.721793,92,92.272355,success
258.208185,90,92.607376,success
256.129001,90,92.770173,success
255.819123,91,92.922668,success
257.445525,88,93.059478,success
254.149497,96,93.211818,success
255.200123,92,93.358349,success
253.351859,92,93.682137,success
256.188202,93,93.826535,success
255.77334,90,93.967496,success
258.225832,90,94.113749,success
256.737284,91,94.258804,success
252.546443,92,94.568691,success
258.297022,87,94.727797,success
