#{"t_start": 1772323696.797408, "env_id": "None"}
r,l,t,termination_reason
-228.441319,43,1.516681,collision
-220.739392,43,1.590891,collision
-224.600202,45,1.673741,collision
-223.429072,47,1.753276,collision
-226.220689,49,1.835691,collision
-227.7146,43,1.909906,collision
-221.160338,40,1.979252,collision
-222.761267,46,2.05014,collision
-228.04061,47,2.124084,collision
-220.101314,36,2.184971,collision
-220.041564,34,2.23788,collision
-219.93126,38,2.299772,collision
-223.399155,38,2.766467,collision
-227.216478,51,2.860235,collision
-227.722788,47,2.950382,collision
-232.212303,58,3.049921,collision
-224.824933,39,3.123672,collision
-231.032091,50,3.214443,collision
-223.863429,43,3.292557,collision
-225.664416,52,3.392815,collision
-226.24768,41,3.47081,collision
-232.781514,51,3.563204,collision
-221.441201,47,3.853811,collision
-224.333035,44,3.931241,collision
-224.520846,42,4.015057,collision
-225.059676,54,4.120827,collision
-224.367279,50,4.220999,collision
-225.041278,50,4.301188,collision
-227.945064,49,4.382824,collision
-228.00311,51,4.46399,collision
-222.336653,50,4.544339,collision
-226.886008,51,4.626831,collision
-221.770138,41,4.690969,collision
-223.200818,45,4.926983,collision
-223.646294,47,5.001577,collision
-223.8954,46,5.077914,collision
-227.846963,55,5.166272,collision
-225.476507,52,5.246949,collision
-227.621124,58,5.341707,collision
-228.963304,58,5.435441,collision
-226.830837,58,5.52739,collision
-221.2091,47,5.604929,collision
-231.208789,56,5.697906,collision
-228.793767,54,5.94888,collision
-227.77316,52,6.030856,collision
-222.312874,44,6.098292,collision
-228.153776,53,6.185463,collision
-221.245992,44,6.258196,collision
-232.988921,66,6.362758,collision
-227.107629,53,6.446982,collision
-228.510935,48,6.521213,collision
-227.445705,54,6.607798,collision
-227.505124,48,6.684288,collision
-227.936615,49,6.935431,collision
-243.085879,89,7.077049,collision
-226.728184,64,7.177493,collision
-235.304935,68,7.285971,collision
-225.849633,58,7.380062,collision
-227.894202,60,7.476079,collision
-239.309259,101,7.639781,collision
-226.864696,51,7.893465,collision
-226.63953,51,7.976151,collision
-231.431165,70,8.087668,collision
-229.329014,60,8.18248,collision
-233.981125,76,8.302523,collision
-236.219033,70,8.414204,collision
-241.751336,83,8.547052,collision
-231.154063,73,8.663017,collision
-230.432279,61,8.92492,collision
-229.363193,64,9.026378,collision
-228.49902,70,9.136495,collision
-269.079499,146,9.367063,collision
-254.256197,140,9.591182,collision
-245.747081,100,9.929774,collision
-241.357846,73,10.041721,collision
-250.3326,181,10.324983,collision
-287.804897,217,10.83813,collision
-283.344067,204,11.167854,collision
-273.209161,146,11.397692,collision
