#{"t_start": 1772323696.9787436, "env_id": "None"}
r,l,t,termination_reason
-219.867592,41,1.331247,collision
-223.781207,40,1.40069,collision
-223.185525,40,1.473742,collision
-225.322093,44,1.548763,collision
-231.949056,55,1.643896,collision
-225.235486,41,1.713888,collision
-226.139209,47,1.793798,collision
-223.812114,43,1.861369,collision
-230.730846,56,1.949658,collision
-231.165438,53,2.036308,collision
-225.94003,42,2.1015,collision
-223.641759,44,2.579416,collision
-222.79208,45,2.66311,collision
-221.3216,41,2.741842,collision
-222.744516,51,2.828816,collision
-222.076568,45,2.910873,collision
-218.473139,47,2.997588,collision
-221.095359,48,3.086779,collision
-225.003061,43,3.167542,collision
-225.592242,43,3.248223,collision
-227.085509,51,3.345106,collision
-225.713759,48,3.435597,collision
-222.491126,39,3.702388,collision
-227.206873,46,3.792323,collision
-224.931363,44,3.877789,collision
-224.167824,44,3.96702,collision
-224.142651,48,4.058666,collision
-224.376484,46,4.131614,collision
-223.933841,45,4.206882,collision
-227.915773,59,4.300475,collision
-226.34782,47,4.375523,collision
-226.744324,52,4.460095,collision
-228.505392,56,4.54891,collision
-235.844649,61,4.809272,collision
-222.549747,47,4.887225,collision
-223.239214,44,4.959602,collision
-226.51964,50,5.035374,collision
-227.975416,58,5.129628,collision
-227.297052,49,5.208645,collision
-229.001128,51,5.290621,collision
-230.41857,56,5.382731,collision
-229.44396,50,5.463222,collision
-231.680846,68,5.738669,collision
-228.093391,56,5.827629,collision
-223.752902,47,5.900717,collision
-220.815663,43,5.97138,collision
-226.511582,49,6.048488,collision
-227.726057,55,6.138142,collision
-227.894272,55,6.22646,collision
-231.145941,60,6.320321,collision
-231.116365,61,6.417225,collision
-226.655184,52,6.499745,collision
-223.582954,51,6.754097,collision
-227.867692,53,6.838084,collision
-238.620674,73,6.952783,collision
-227.137918,58,7.04573,collision
-231.83884,51,7.128272,collision
-228.66697,57,7.220623,collision
-240.998347,95,7.36847,collision
-234.648669,70,7.487392,collision
-235.252484,80,7.786233,collision
-236.461083,74,7.904794,collision
-229.887611,65,8.007215,collision
-238.31378,89,8.148586,collision
-242.888051,78,8.272217,collision
-232.298252,68,8.38181,collision
-232.778017,64,8.483382,collision
-237.06191,73,8.76389,collision
-249.394645,115,8.945341,collision
-237.423606,89,9.087723,collision
-238.949322,94,9.236099,collision
-232.045205,63,9.337758,collision
-238.855923,84,9.468608,collision
-257.718656,155,9.892651,collision
-256.882338,145,10.120265,collision
-256.956999,145,10.345201,collision
-299.673933,249,10.915776,collision
-244.784809,99,11.074287,collision
-240.436662,86,11.210052,collision
-263.994801,200,11.690028,collision
-266.754189,194,11.994409,collision
-269.915923,209,12.318722,collision
-257.060408,209,12.833789,collision
-253.626839,207,13.161832,collision
-274.80157,206,13.64856,collision
-254.184541,239,14.024785,collision
-296.994854,315,14.678526,collision
-230.35058,165,14.933431,collision
-237.792394,173,15.202971,collision
-249.5993,210,15.691061,collision
-243.926688,224,16.043848,collision
-215.014261,196,16.520666,collision
-249.726304,173,16.80108,collision
-248.325715,205,17.124648,collision
-244.101561,159,17.539484,collision
-200.867891,181,17.827532,collision
-207.383652,163,18.081963,collision
-234.062988,169,18.51345,collision
-225.677898,87,18.650117,collision
-228.378485,190,18.946691,collision
-219.898191,180,19.390907,collision
-225.861833,187,19.686968,collision
-219.790953,171,19.95802,collision
-221.493559,170,20.427933,collision
-210.474956,169,20.792633,collision
-231.332497,169,21.076811,collision
-239.589604,189,21.541112,collision
-250.879521,210,21.872145,collision
-263.743729,229,22.233261,collision
