#{"t_start": 1772323696.7607322, "env_id": "None"}
r,l,t,termination_reason
-228.176561,48,1.562147,collision
-228.550503,54,1.658108,collision
-226.039624,44,1.736978,collision
-224.316417,44,1.809084,collision
-231.376808,49,1.893211,collision
-222.965031,38,1.95764,collision
-224.149387,47,2.038703,collision
-224.499856,43,2.103948,collision
-224.837819,46,2.177134,collision
-224.78368,44,2.249116,collision
-223.719891,50,2.329746,collision
-226.41766,43,2.804801,collision
-226.114672,49,2.895161,collision
-220.224445,45,2.981739,collision
-222.932455,44,3.056119,collision
-225.940646,45,3.139432,collision
-222.886829,40,3.211416,collision
-222.781247,46,3.297643,collision
-225.511936,46,3.383244,collision
-222.311191,46,3.470255,collision
-228.905758,53,3.570182,collision
-224.980706,45,3.655441,collision
-220.960229,39,3.922071,collision
-230.470126,56,4.031169,collision
-228.985996,49,4.125817,collision
-227.568918,53,4.230894,collision
-222.243318,38,4.2994,collision
-226.191274,49,4.379107,collision
-223.425697,46,4.456096,collision
-230.07183,59,4.547817,collision
-229.162344,55,4.635443,collision
-226.960604,51,4.718186,collision
-223.915466,52,4.965251,collision
-227.43248,58,5.060937,collision
-223.864473,51,5.14285,collision
-232.824254,67,5.246823,collision
-226.281844,48,5.325853,collision
-219.182334,42,5.392966,collision
-226.783095,52,5.476787,collision
-223.735292,46,5.550024,collision
-240.214715,66,5.658131,collision
-222.283679,48,5.737844,collision
-231.699239,56,5.991382,collision
-222.717527,45,6.062641,collision
-230.328889,66,6.166758,collision
-232.417677,62,6.266245,collision
-229.342257,51,6.349562,collision
-225.899673,51,6.430997,collision
-223.962479,45,6.501445,collision
-231.580395,72,6.615664,collision
-231.019053,63,6.715797,collision
-227.874134,71,7.00157,collision
-226.349617,49,7.078889,collision
-237.187123,85,7.214332,collision
-232.255876,67,7.320839,collision
-225.927729,48,7.399358,collision
-233.733151,60,7.495601,collision
-225.661843,59,7.586169,collision
-239.490655,69,7.703619,collision
-234.127769,79,8.000591,collision
-231.571839,60,8.095256,collision
-232.870431,76,8.216991,collision
-234.845059,69,8.32598,collision
-242.217985,88,8.466442,collision
-236.247236,88,8.609298,collision
-247.893363,92,8.917488,collision
-233.426193,67,9.025085,collision
-237.703129,104,9.188525,collision
