#{"t_start": 1772323696.8601406, "env_id": "None"}
r,l,t,termination_reason
-220.146284,41,1.449585,collision
-224.797522,46,1.52978,collision
-220.679721,40,1.602345,collision
-224.648658,38,1.667049,collision
-228.611197,49,1.750658,collision
-233.906438,55,1.845018,collision
-221.395139,42,1.918149,collision
-221.991883,40,1.979636,collision
-223.949545,43,2.047811,collision
-222.059846,41,2.114222,collision
-224.286922,44,2.18468,collision
-226.588167,50,2.671433,collision
-221.950347,39,2.739357,collision
-222.048803,50,2.83296,collision
-220.747798,37,2.901851,collision
-226.332477,46,2.980534,collision
-225.970104,52,3.076649,collision
-224.478042,46,3.161103,collision
-228.498144,55,3.259982,collision
-222.581882,38,3.33533,collision
-223.967124,42,3.414773,collision
-222.153236,42,3.491457,collision
-219.618565,40,3.569407,collision
-224.178017,46,3.848077,collision
-224.983672,47,3.941621,collision
-221.499147,42,4.022507,collision
-220.995878,45,4.11271,collision
-228.437892,51,4.204342,collision
-232.860015,66,4.31318,collision
-230.319194,54,4.399603,collision
-227.329368,50,4.479859,collision
-232.986695,58,4.573092,collision
-233.574791,65,4.838905,collision
-221.564709,42,4.907865,collision
-225.182534,50,4.989424,collision
-226.239162,59,5.085857,collision
-222.651074,34,5.137031,collision
-227.564576,52,5.221229,collision
-222.614431,47,5.296721,collision
-220.724714,41,5.360891,collision
-225.885837,46,5.435608,collision
-228.188018,66,5.544106,collision
-227.041315,52,5.630252,collision
-233.735632,62,5.893555,collision
-246.717496,95,6.044095,collision
-229.912899,62,6.143316,collision
-232.409678,58,6.238549,collision
-227.109754,56,6.326835,collision
-230.91189,58,6.418375,collision
-229.684625,54,6.503999,collision
-225.321102,59,6.598555,collision
-235.039778,76,6.891933,collision
-230.63711,56,6.979313,collision
-235.366585,79,7.105022,collision
-225.966673,52,7.187425,collision
-231.14294,64,7.291897,collision
-233.130867,74,7.409645,collision
-236.232804,79,7.536448,collision
-227.906563,54,7.626009,collision
-235.415596,57,7.887777,collision
-246.779951,111,8.064965,collision
-227.195046,57,8.156457,collision
-241.383756,97,8.310353,collision
-233.123786,71,8.422364,collision
