#{"t_start": 1772323696.8871145, "env_id": "None"}
r,l,t,termination_reason
-225.491495,46,1.431962,collision
-225.893281,46,1.514815,collision
-221.096159,37,1.579672,collision
-224.693582,41,1.649746,collision
-218.934646,36,1.709072,collision
-223.06874,38,1.775344,collision
-225.932631,44,1.849849,collision
-218.13253,32,1.906467,collision
-230.713136,53,1.987085,collision
-222.861147,47,2.062466,collision
-220.308655,44,2.133909,collision
-224.030508,42,2.201371,collision
-224.689545,42,2.674509,collision
-225.124353,43,2.753704,collision
-224.314436,44,2.838942,collision
-224.417579,47,2.918386,collision
-228.314631,49,3.008726,collision
-224.849526,42,3.08485,collision
-225.442593,47,3.173052,collision
-227.406922,51,3.267906,collision
-227.234596,49,3.360489,collision
-225.398584,44,3.443572,collision
-227.345627,49,3.537009,collision
-224.268208,43,3.809848,collision
-222.849819,46,3.900774,collision
-231.288284,54,4.006905,collision
-231.631411,58,4.121385,collision
-231.975849,54,4.211439,collision
-223.069098,45,4.286206,collision
-226.905627,47,4.36152,collision
-226.759024,49,4.440368,collision
-223.65024,43,4.507471,collision
-225.607749,49,4.587487,collision
-240.699272,73,4.868474,collision
-226.682783,48,4.947157,collision
-223.395989,50,5.027739,collision
-224.153529,46,5.099347,collision
-227.057346,52,5.182088,collision
-227.340351,57,5.275084,collision
-230.65813,55,5.363404,collision
-223.312659,53,5.450448,collision
-229.004048,59,5.545336,collision
-230.963502,55,5.799736,collision
-225.743903,55,5.88659,collision
-226.476483,56,5.974966,collision
-224.648176,50,6.056306,collision
-228.724374,55,6.143528,collision
-227.004733,53,6.229396,collision
-228.217677,49,6.307682,collision
-236.454932,64,6.408259,collision
-227.982781,56,6.497273,collision
-227.753041,53,6.581842,collision
-232.118666,57,6.845563,collision
-224.652255,48,6.921456,collision
-232.479534,73,7.036242,collision
-229.114594,60,7.132391,collision
-226.717054,52,7.215207,collision
-221.642093,48,7.293336,collision
-231.291033,58,7.386262,collision
-230.84059,59,7.479562,collision
-231.092673,72,7.599038,collision
-244.184298,91,7.916246,collision
-240.865424,88,8.054604,collision
-235.77131,67,8.161449,collision
-228.709136,58,8.255327,collision
-230.781864,65,8.357165,collision
-243.565457,102,8.522856,collision
-235.496222,76,8.806027,collision
-229.12654,69,8.915906,collision
-233.900352,67,9.021886,collision
-244.281151,112,9.201032,collision
-232.322025,67,9.304705,collision
-282.183506,182,9.775456,collision
-234.653155,79,9.899437,collision
-294.241291,228,10.253678,collision
-241.733001,98,10.406823,collision
-238.340243,82,10.538829,collision
-240.160525,123,10.904858,collision
-255.388476,185,11.200007,collision
-239.721208,84,11.334868,collision
-243.352301,102,11.491439,collision
-254.301312,176,11.938626,collision
-263.651238,181,12.220773,collision
-266.499878,252,12.800033,collision
-287.356247,246,13.189051,collision
-274.152895,228,13.709609,collision
-253.157468,214,14.048082,collision
-239.617152,177,14.321577,collision
-257.945398,181,14.768245,collision
-232.818193,185,15.055034,collision
-269.471937,252,15.606435,collision
-233.159462,171,15.876458,collision
-241.569345,199,16.193809,collision
-262.83733,196,16.664113,collision
-230.63034,179,16.954604,collision
-239.161492,198,17.267034,collision
-233.684616,182,17.720196,collision
-232.04343,188,18.016749,collision
-236.082354,205,18.339083,collision
-232.428012,167,18.766549,collision
-224.455541,178,19.044073,collision
-219.496299,181,19.492048,collision
-220.153748,189,19.788919,collision
-223.997692,167,20.054155,collision
-234.883132,171,20.530955,collision
-231.834986,182,20.909468,collision
-230.751862,206,21.254632,collision
-231.124594,173,21.693079,collision
-223.880048,174,21.967188,collision
-262.145149,220,22.312709,collision
-220.598899,173,22.763712,collision
-243.005087,179,23.065012,collision
-226.954207,174,23.396949,collision
-222.585301,185,23.880728,collision
-240.808636,195,24.196594,collision
-230.629194,182,24.74722,collision
-208.954124,173,25.09782,collision
-216.497224,181,25.413128,collision
-209.558131,183,25.904999,collision
-217.430286,176,26.200155,collision
-201.854411,163,26.497446,collision
-226.733989,177,26.959099,collision
-204.700941,166,27.259936,collision
-213.337638,174,27.569279,collision
-226.13548,164,28.045465,collision
-222.151284,196,28.364601,collision
-218.690923,174,28.646962,collision
-209.841695,185,29.144984,collision
-201.991866,175,29.439386,collision
-192.229486,181,29.73842,collision
-219.595033,178,30.229086,collision
-226.284932,179,30.529962,collision
-215.121238,165,30.7977,collision
-221.214952,178,31.303835,collision
-221.628494,174,31.588007,collision
-196.42818,193,31.953404,collision
-188.658004,181,32.508259,collision
-223.636977,176,32.838251,collision
-204.509168,181,33.146276,collision
-206.470371,162,33.593759,collision
-219.187655,188,33.984173,collision
-220.297133,179,34.581673,collision
-208.949188,123,34.822604,collision
-212.021317,196,35.229966,collision
-211.790076,207,35.836679,collision
-220.188137,172,36.1551,collision
-210.02726,179,36.452054,collision
-211.320819,179,37.026834,collision
-218.637823,201,37.394895,collision
-208.58853,202,37.741626,collision
-201.973238,200,38.320566,collision
-203.740085,188,38.627218,collision
-204.661391,188,39.127002,collision
-207.197162,206,39.45172,collision
209.863545,185,39.74617,success
-223.706988,190,40.219049,collision
-240.685815,128,40.423584,collision
-246.218767,181,40.712626,collision
-243.235542,151,41.122527,collision
-243.873066,145,41.352139,collision
-229.581163,147,41.620819,collision
-234.190936,134,41.839661,collision
-231.221737,126,42.222601,collision
-248.061051,136,42.440623,collision
-240.139359,197,42.766139,collision
-232.844049,100,42.925682,collision
-247.484535,202,43.415796,collision
-244.575779,137,43.633616,collision
-245.293475,141,43.865038,collision
-226.202184,180,44.330427,collision
-239.065093,159,44.589986,collision
-232.888589,180,44.892156,collision
-245.247978,200,45.376081,collision
-226.045746,174,45.648518,collision
-235.833385,191,46.127986,collision
-233.774722,153,46.367905,collision
-217.679174,159,46.6236,collision
-233.673773,174,46.900125,collision
-239.146618,196,47.366666,collision
-224.920086,166,47.634999,collision
-232.515128,172,48.07179,collision
-230.44671,162,48.326072,collision
-220.627006,178,48.610151,collision
-211.993401,175,49.067058,collision
-203.547988,174,49.352281,collision
-227.539842,171,49.633918,collision
-231.431845,165,50.079972,collision
-231.418684,181,50.371844,collision
-235.184582,181,50.7446,collision
-230.510506,162,51.240673,collision
-188.744785,162,51.498285,collision
-191.710587,159,51.759505,collision
-186.510021,168,52.020842,collision
-200.65524,109,52.372354,collision
-191.8094,155,52.625862,collision
-182.313824,158,52.878497,collision
-189.827414,101,53.20854,collision
-192.348618,145,53.439481,collision
-190.848812,137,53.659097,collision
-194.908311,154,53.936194,collision
-181.822864,143,54.341285,collision
-202.232695,137,54.559041,collision
-192.54629,139,54.799053,collision
-189.011808,155,55.048969,collision
-205.460048,157,55.472177,collision
-192.7645,146,55.707763,collision
-202.771916,143,55.939734,collision
-187.344102,153,56.34916,collision
-185.00177,146,56.580163,collision
-186.419541,153,56.822505,collision
-185.128779,141,57.226262,collision
-183.50361,150,57.494788,collision
-188.159244,147,57.735235,collision
-180.122035,144,57.990267,collision
-180.912912,140,58.380961,collision
-180.838949,137,58.599302,collision
-174.956627,135,58.810131,collision
-174.089586,147,59.045962,collision
-172.701053,146,59.437042,collision
-178.674118,149,59.672085,collision
-184.42289,147,59.908584,collision
-189.670516,150,60.312972,collision
-185.620282,152,60.553068,collision
-180.937308,145,60.784184,collision
-185.795392,149,61.021121,collision
-180.620397,142,61.407953,collision
-178.66808,143,61.635473,collision
-173.907163,131,61.849999,collision
-176.023304,136,62.232316,collision
-175.4555,135,62.442984,collision
-179.915575,143,62.673304,collision
-172.522809,131,62.881505,collision
238.733137,129,63.252068,success
-182.802021,143,63.478055,collision
-179.969514,150,63.717476,collision
-174.873976,143,63.948506,collision
-181.422162,149,64.350198,collision
235.718614,133,64.558895,success
-175.623509,153,64.805275,collision
-177.078206,149,65.207566,collision
-171.133296,135,65.413359,collision
230.147651,138,65.632473,success
-173.070414,141,65.854084,collision
235.743419,136,66.244202,success
246.181069,121,66.431562,success
236.024759,128,66.633786,success
235.940482,136,66.84624,success
-207.203426,76,67.142752,collision
239.889571,121,67.338975,success
242.683953,118,67.523308,success
240.586532,128,67.732655,success
-166.191467,148,68.145404,collision
-163.595696,133,68.352373,collision
236.837795,130,68.569084,success
-173.019215,139,68.799559,collision
-162.794262,136,69.244344,collision
235.372199,132,69.489833,success
-159.724896,131,69.695815,collision
-165.402187,127,69.894597,collision
242.574281,117,70.248284,success
-187.254045,87,70.38524,collision
238.80356,129,70.582978,success
242.953887,131,70.794658,success
242.46845,119,71.14683,success
236.330554,127,71.344668,success
240.122431,131,71.54598,success
-167.409695,126,71.743054,collision
-202.736214,71,71.853366,collision
241.448689,119,72.241021,success
243.686461,114,72.429284,success
248.764414,112,72.608357,success
-168.833771,132,72.841592,collision
243.371335,115,73.193078,success
238.454864,122,73.398732,success
-166.670977,124,73.609,collision
244.247036,116,73.794686,success
-165.769084,121,74.165502,collision
243.506405,115,74.354045,success
-165.577893,124,74.5527,collision
245.247676,114,74.737239,success
-169.395892,123,74.937428,collision
243.155404,117,75.298872,success
242.814119,112,75.477649,success
245.498949,117,75.660856,success
-201.132088,55,75.747063,collision
241.220551,113,75.926299,success
247.010852,107,76.262341,success
-204.160528,51,76.342678,collision
-192.895804,79,76.470714,collision
-160.508221,124,76.66329,collision
-192.352531,73,76.786494,collision
-194.745219,74,76.906491,collision
243.780231,116,77.262663,success
243.872467,115,77.453427,success
248.938531,111,77.642819,success
241.252471,114,77.838034,success
245.260261,113,78.184144,success
244.862876,113,78.363368,success
-165.644933,121,78.584677,collision
-156.897049,119,78.781568,collision
253.280767,106,78.957164,success
244.211845,107,79.315029,success
-155.719854,111,79.496542,collision
-157.391302,128,79.705966,collision
-159.562194,117,79.908433,collision
247.361772,111,80.267177,success
246.49707,108,80.448912,success
-158.383651,116,80.691765,collision
249.070007,108,80.869534,success
-158.859188,115,81.052062,collision
246.254527,107,81.414144,success
246.704037,107,81.595259,success
248.092791,106,81.766632,success
246.988441,102,81.930534,success
245.646796,110,82.287745,success
249.919929,104,82.455586,success
249.256286,105,82.621753,success
248.035863,105,82.786357,success
251.762657,101,82.953668,success
250.575007,100,83.292117,success
247.702721,110,83.476333,success
245.628436,110,83.651248,success
251.401467,105,83.825797,success
-154.033991,115,84.009465,collision
248.765431,106,84.380176,success
250.621494,102,84.555766,success
253.95515,99,84.711661,success
252.390922,101,84.899541,success
245.05156,102,85.080931,success
250.694379,103,85.409968,success
251.984823,101,85.57094,success
247.114095,101,85.739481,success
247.711832,106,85.912125,success
251.192141,98,86.067811,success
-155.309582,109,86.420776,collision
253.529642,96,86.575591,success
246.698156,101,86.745183,success
247.253922,101,86.902852,success
250.665384,95,87.055279,success
251.272073,99,87.380413,success
250.806395,97,87.535441,success
253.114487,94,87.69031,success
252.890607,96,87.846185,success
256.668537,98,88.004425,success
248.642776,106,88.173088,success
254.055342,92,88.482136,success
254.15129,94,88.630164,success
251.472119,95,88.783689,success
255.240325,90,88.945291,success
256.03132,92,89.113866,success
254.238596,94,89.458035,success
252.122262,96,89.608405,success
249.946024,96,89.758319,success
251.115923,93,89.915795,success
256.565898,94,90.091741,success
254.608029,93,90.238834,success
255.5408,90,90.551294,success
258.221805,91,90.699855,success
253.649822,93,90.845912,success
251.475596,95,91.00042,success
254.37274,96,91.154843,success
258.668385,92,91.467196,success
255.434675,88,91.608337,success
256.436059,91,91.751874,success
253.290215,95,91.904991,success
