#{"t_start": 1772323696.8939364, "env_id": "None"}
r,l,t,termination_reason
-221.766119,42,1.417967,collision
-224.280545,46,1.498206,collision
-221.72995,40,1.570948,collision
-226.832578,47,1.651381,collision
-224.906672,42,1.723215,collision
-223.237062,43,1.79699,collision
-226.707781,47,1.876704,collision
-224.042923,38,1.936783,collision
-222.275534,36,1.993811,collision
-221.070982,37,2.052512,collision
-220.619503,35,2.109494,collision
-219.970626,41,2.174221,collision
-223.11577,40,2.645682,collision
-226.473894,45,2.726357,collision
-224.014371,45,2.811149,collision
-225.695207,42,2.884852,collision
-229.365467,56,2.984632,collision
-225.098428,47,3.071425,collision
-226.586549,44,3.151842,collision
-224.428034,42,3.228429,collision
-221.64227,41,3.31172,collision
-230.695299,55,3.413084,collision
-228.537711,60,3.526201,collision
-225.885072,53,3.819569,collision
-230.248923,55,3.928036,collision
-224.454688,49,4.02445,collision
-228.57516,59,4.140303,collision
-224.175749,45,4.210634,collision
-228.264415,55,4.302805,collision
-226.977551,47,4.377319,collision
-223.264403,46,4.450632,collision
-227.575802,47,4.527102,collision
-225.838143,46,4.599402,collision
-226.776832,49,4.842688,collision
-229.673243,47,4.916254,collision
-224.900982,45,4.991175,collision
-229.107613,55,5.079249,collision
-225.734108,54,5.164172,collision
-235.243536,63,5.266684,collision
-220.255886,40,5.328698,collision
-224.236253,44,5.400163,collision
-228.539255,56,5.492048,collision
-225.293051,50,5.57513,collision
-225.060954,57,5.831432,collision
-225.136139,56,5.919612,collision
-229.346926,56,6.008579,collision
-223.790297,55,6.096423,collision
-229.925835,64,6.201819,collision
-228.532926,56,6.290063,collision
-225.634125,51,6.369796,collision
-225.056489,49,6.447954,collision
-234.557575,86,6.584085,collision
-235.934323,71,6.870227,collision
-232.451612,56,6.959388,collision
-232.624252,58,7.049528,collision
-236.729583,77,7.173127,collision
-230.697253,58,7.267684,collision
-240.29872,84,7.401307,collision
-237.307013,73,7.519153,collision
-243.39707,83,7.825505,collision
-230.484061,51,7.907491,collision
-243.310303,99,8.062997,collision
-239.901962,99,8.221167,collision
-235.716341,79,8.347484,collision
-232.11287,76,8.471353,collision
-230.012344,62,8.568263,collision
-247.707335,109,8.905862,collision
-246.33853,118,9.092506,collision
-234.232063,85,9.227189,collision
-244.847668,114,9.408525,collision
-238.23654,90,9.549825,collision
-236.466344,83,9.862455,collision
-235.082921,71,9.972517,collision
-252.065721,137,10.187051,collision
-237.58871,95,10.334197,collision
-230.185345,64,10.435165,collision
-247.39634,152,10.848657,collision
-259.297632,179,11.136601,collision
-294.220821,246,11.520662,collision
-262.247882,199,12.004377,collision
-236.086908,111,12.177701,collision
-271.500322,259,12.767545,collision
-231.374051,158,13.01599,collision
-257.032297,190,13.31382,collision
-236.345027,177,13.757784,collision
-258.534474,174,14.031317,collision
-238.978577,192,14.328264,collision
-248.882518,180,14.774191,collision
-252.383378,210,15.098696,collision
-234.205376,197,15.404693,collision
-267.392771,205,15.88824,collision
-240.701106,203,16.211907,collision
-229.598611,167,16.636397,collision
-224.607722,199,16.959769,collision
-234.838013,188,17.255124,collision
-244.863041,207,17.747472,collision
-216.446999,154,17.992094,collision
-206.533199,172,18.260922,collision
-215.625471,169,18.692118,collision
-228.913585,181,18.975567,collision
-238.194629,191,19.271339,collision
-236.227335,160,19.689407,collision
-237.436699,185,19.978856,collision
-237.639466,165,20.243612,collision
-237.902565,189,20.842624,collision
-238.122802,195,21.166068,collision
-228.591654,161,21.586927,collision
-227.525702,172,21.857192,collision
-228.415675,184,22.146849,collision
-245.613757,186,22.615259,collision
-238.952104,186,22.916807,collision
-230.725388,200,23.272098,collision
-216.491139,197,23.80606,collision
-211.338932,175,24.086942,collision
-225.609389,189,24.402794,collision
-214.671171,178,24.987596,collision
-202.56003,184,25.323303,collision
-217.413555,179,25.634376,collision
-207.872894,161,26.0721,collision
-206.363737,181,26.408357,collision
-210.437791,142,26.64704,collision
-233.687494,171,27.099435,collision
-217.415037,174,27.427147,collision
-217.857467,164,27.719563,collision
-217.330237,159,28.172339,collision
-201.563407,173,28.448933,collision
-211.504983,168,28.731751,collision
-210.675776,172,29.209299,collision
-242.259805,183,29.519593,collision
-224.289875,179,29.804018,collision
-214.84489,188,30.312835,collision
-199.482491,171,30.599768,collision
-198.913924,172,30.876996,collision
-224.944753,178,31.384405,collision
-231.010383,199,31.755713,collision
-217.598036,174,32.25493,collision
-223.334683,174,32.624345,collision
-234.013867,171,32.910772,collision
-181.610774,161,33.350936,collision
-221.605185,176,33.674872,collision
-207.751169,188,34.109484,collision
-199.400611,185,34.663166,collision
-221.666883,195,35.070661,collision
-216.731966,219,35.485574,collision
-253.426975,231,36.138931,collision
-221.967719,207,36.502763,collision
-199.248329,192,37.076377,collision
-214.537736,178,37.419865,collision
-216.905227,209,37.771865,collision
-200.719104,202,38.346525,collision
-213.765395,189,38.655662,collision
-204.969791,214,39.196692,collision
-204.902101,187,39.490954,collision
-188.861795,181,39.781486,collision
-201.019519,185,40.242167,collision
-231.865865,142,40.469187,collision
-243.226025,139,40.693781,collision
-237.949205,110,40.871884,collision
-236.958867,109,41.210841,collision
-237.759849,117,41.397918,collision
-236.813993,126,41.634487,collision
-232.359417,140,41.862224,collision
-250.925791,192,42.347828,collision
-249.745529,155,42.602912,collision
-236.890249,146,42.843302,collision
-243.331195,139,43.235456,collision
-252.416075,170,43.49909,collision
-241.875362,146,43.738776,collision
-228.579547,165,44.166933,collision
-227.729406,147,44.420826,collision
-235.902503,204,44.76026,collision
-230.219018,153,45.176097,collision
-238.547973,152,45.411933,collision
-219.570599,174,45.691038,collision
-228.579159,189,46.161531,collision
-214.205567,134,46.373768,collision
-213.507549,116,46.558495,collision
-210.220707,123,46.753843,collision
-213.01556,132,47.127725,collision
-230.865847,182,47.41168,collision
-212.56959,125,47.612367,collision
-223.444522,169,47.877455,collision
-226.811082,138,48.25922,collision
-198.314108,101,48.421557,collision
-207.427928,178,48.706528,collision
-203.787037,167,49.150982,collision
-206.405485,162,49.421705,collision
-199.166975,158,49.679095,collision
-230.535546,167,50.127768,collision
-189.740408,155,50.376527,collision
-223.850701,140,50.678627,collision
-202.959158,202,51.244045,collision
-192.05227,165,51.505749,collision
-181.274909,149,51.750419,collision
-186.161826,146,51.978477,collision
-197.047984,165,52.419503,collision
-209.542513,154,52.669627,collision
-202.33105,102,52.831852,collision
-207.064607,152,53.244943,collision
-204.656257,142,53.472912,collision
-187.597108,142,53.702972,collision
-190.670952,140,53.953602,collision
-201.157612,159,54.385381,collision
-184.774123,138,54.607809,collision
-180.913586,150,54.86132,collision
-191.69681,147,55.268954,collision
-196.206901,165,55.535349,collision
-200.630745,158,55.793411,collision
-187.134198,149,56.030938,collision
-189.302508,153,56.440081,collision
-185.61572,144,56.664953,collision
-191.620545,159,56.919405,collision
-195.826543,149,57.350355,collision
-186.900509,147,57.602301,collision
-190.272212,145,57.856746,collision
-190.185382,96,58.016759,collision
-178.140576,141,58.409393,collision
-186.730343,154,58.652633,collision
-191.972723,150,58.889444,collision
-172.092178,141,59.275563,collision
-178.184849,144,59.500701,collision
-178.798955,151,59.741939,collision
-196.589135,104,59.908017,collision
-187.256312,159,60.326081,collision
-182.490937,142,60.552837,collision
-193.239668,97,60.706235,collision
-182.636773,141,60.928607,collision
-173.088255,132,61.304547,collision
-173.055491,141,61.526339,collision
-170.258624,139,61.751229,collision
-185.223712,151,61.994167,collision
-182.197898,158,62.406984,collision
-182.05388,145,62.64154,collision
-175.966101,134,62.853659,collision
-176.852823,143,63.245364,collision
-175.386281,146,63.476103,collision
-177.9313,144,63.70607,collision
235.369443,132,63.919793,success
235.991444,124,64.27909,success
-171.898606,149,64.516436,collision
-169.966435,140,64.741214,collision
-171.541776,146,65.138846,collision
-171.544394,137,65.351903,collision
