#{"t_start": 1772323696.9588344, "env_id": "None"}
r,l,t,termination_reason
-222.175661,36,1.342926,collision
-225.871014,45,1.420681,collision
-227.390547,49,1.51018,collision
-226.057841,43,1.583409,collision
-225.514149,45,1.660375,collision
-228.075652,51,1.746446,collision
-225.512293,53,1.837642,collision
-228.434339,41,1.900102,collision
-231.389723,57,1.990772,collision
-222.415242,42,2.059098,collision
-227.721327,50,2.139737,collision
-222.203601,39,2.608547,collision
-221.336777,42,2.686683,collision
-219.285754,40,2.763214,collision
-225.902855,49,2.846423,collision
-226.135744,50,2.939177,collision
-219.681145,42,3.015318,collision
-221.085034,40,3.089034,collision
-222.49596,40,3.161313,collision
-224.635387,44,3.250166,collision
-222.226108,40,3.323465,collision
-224.298302,45,3.405627,collision
-225.391573,42,3.687186,collision
-232.580314,54,3.784718,collision
-222.220672,44,3.871269,collision
-225.041486,46,3.963281,collision
-223.197478,42,4.043597,collision
-222.060276,44,4.118757,collision
-226.303856,53,4.205816,collision
-228.890583,56,4.296295,collision
-222.529125,37,4.356199,collision
-222.276125,44,4.424776,collision
-220.926232,43,4.495326,collision
-220.060983,42,4.562305,collision
-224.355965,45,4.798454,collision
-223.933518,49,4.878499,collision
-225.838097,46,4.952948,collision
-223.370634,45,5.022972,collision
-224.817096,58,5.116575,collision
-227.738553,52,5.199891,collision
-225.691972,40,5.262223,collision
-222.621427,46,5.337137,collision
-226.709247,47,5.415457,collision
-226.517559,50,5.496292,collision
-223.413811,42,5.730102,collision
-227.760707,60,5.825691,collision
-228.08528,63,5.923517,collision
-226.562233,55,6.012591,collision
-225.599589,48,6.090411,collision
-224.775593,48,6.16751,collision
-224.673532,45,6.23928,collision
-234.658572,61,6.334937,collision
-232.619495,60,6.430598,collision
-224.86793,46,6.504417,collision
-229.833868,78,6.800464,collision
-227.566196,53,6.884117,collision
-234.245636,59,6.977111,collision
-228.620005,58,7.070699,collision
-223.892231,45,7.141605,collision
-225.155503,57,7.235056,collision
-229.103467,62,7.333028,collision
-222.457749,44,7.402837,collision
-228.907401,54,7.492979,collision
-238.437702,91,7.811238,collision
-225.295527,44,7.879323,collision
-242.896956,89,8.022488,collision
-240.682224,108,8.19392,collision
-231.595835,61,8.289978,collision
-231.081382,63,8.39178,collision
-224.048288,60,8.487838,collision
-247.254549,95,8.801965,collision
-263.292445,150,9.041899,collision
-226.527563,63,9.141385,collision
-241.387127,75,9.258817,collision
-232.004085,67,9.366812,collision
-272.546345,204,9.866498,collision
-245.874943,117,10.053038,collision
-267.408242,183,10.335134,collision
-237.910029,89,10.479262,collision
-230.893777,70,10.760105,collision
-266.383702,175,11.04252,collision
-260.66323,159,11.291648,collision
-293.790255,261,11.869873,collision
-255.862985,211,12.200418,collision
-256.010274,181,12.670092,collision
-237.563071,203,12.988671,collision
-232.877404,194,13.292246,collision
-267.28826,218,13.801435,collision
-231.849235,201,14.115985,collision
-231.229356,185,14.561973,collision
-249.789163,224,14.913793,collision
-251.110735,211,15.240738,collision
-218.525034,132,15.606733,collision
-230.881558,182,15.893418,collision
-239.716514,197,16.209229,collision
-252.603205,213,16.71311,collision
-214.767162,139,16.935994,collision
-255.884401,215,17.272332,collision
-257.574208,217,17.782064,collision
-222.606645,154,18.021486,collision
-225.965959,187,18.484416,collision
-221.914193,202,18.800642,collision
-239.981683,181,19.081897,collision
-234.346638,195,19.551355,collision
-242.058191,179,19.832222,collision
-235.808375,185,20.12626,collision
-252.546329,197,20.739264,collision
-220.118948,175,21.031805,collision
-231.672576,184,21.320893,collision
-217.874799,177,21.76584,collision
-217.535541,177,22.046133,collision
-220.107394,182,22.507347,collision
-227.273248,187,22.810678,collision
-230.194191,154,23.079387,collision
-237.890168,174,23.584292,collision
-215.844607,198,23.903635,collision
-221.218654,178,24.192031,collision
