#{"t_start": 1772323696.9341695, "env_id": "None"}
r,l,t,termination_reason
-231.318601,52,1.39598,collision
-222.93066,39,1.465564,collision
-223.313348,45,1.546758,collision
-224.970324,46,1.623038,collision
-224.470334,46,1.700803,collision
-225.891733,44,1.776324,collision
-224.311576,42,1.850073,collision
-227.287484,51,1.927765,collision
-223.575572,40,1.990592,collision
-224.939213,47,2.067521,collision
-223.602277,42,2.13393,collision
-223.742365,41,2.607214,collision
-222.762839,46,2.68998,collision
-221.359302,37,2.759281,collision
-223.981876,42,2.835667,collision
-226.306615,48,2.918792,collision
-226.017363,43,2.999418,collision
-225.220528,43,3.077947,collision
-225.271882,46,3.162779,collision
-231.991903,65,3.286217,collision
-223.160099,40,3.360762,collision
-221.487464,47,3.446019,collision
-223.052541,43,3.728022,collision
-224.4938,46,3.813219,collision
-224.300998,40,3.892312,collision
-223.313792,44,3.978233,collision
-227.933492,53,4.084519,collision
-228.335484,55,4.172999,collision
-227.924068,50,4.256139,collision
-227.299241,50,4.335193,collision
-223.8982,48,4.412024,collision
-227.688761,46,4.486869,collision
-227.49123,55,4.573044,collision
-222.530552,42,4.805962,collision
-223.737955,48,4.881104,collision
-229.175789,48,4.961074,collision
-231.406061,65,5.063154,collision
-225.952863,52,5.147433,collision
-222.811785,45,5.219643,collision
-232.973372,72,5.33481,collision
-228.692704,59,5.431803,collision
-221.903842,42,5.500111,collision
-235.751822,76,5.788023,collision
-231.074165,66,5.892627,collision
-231.730335,56,5.981096,collision
-229.66532,60,6.077918,collision
-228.071972,50,6.1597,collision
-227.02389,54,6.244941,collision
-226.279345,46,6.317753,collision
-236.844661,67,6.424078,collision
-237.332149,70,6.534995,collision
-230.512363,58,6.800335,collision
-229.06557,68,6.907106,collision
-233.723656,63,7.006151,collision
-245.079737,95,7.158436,collision
-228.814805,56,7.249287,collision
-228.218584,59,7.344069,collision
-232.049281,62,7.441955,collision
-236.000707,81,7.747589,collision
-232.933359,72,7.862761,collision
-228.340933,51,7.944443,collision
-227.946463,68,8.051763,collision
-235.04937,66,8.156064,collision
-229.021157,61,8.253781,collision
-230.536158,61,8.349945,collision
-238.318327,74,8.470996,collision
-227.96314,71,8.745664,collision
-228.222605,64,8.848433,collision
-232.67661,62,8.947524,collision
-228.437069,56,9.033732,collision
-244.493125,86,9.172338,collision
-230.108615,65,9.273616,collision
-228.63253,56,9.362859,collision
-243.031462,98,9.517854,collision
-239.120619,86,9.834369,collision
-240.101141,82,9.963108,collision
-257.348839,180,10.242663,collision
-232.069372,64,10.339883,collision
-274.12651,215,10.855907,collision
-252.879218,239,11.238113,collision
-294.705058,234,11.773136,collision
-262.379094,235,12.142056,collision
-277.155004,252,12.721537,collision
-241.832726,173,12.994389,collision
-268.682499,205,13.315439,collision
-250.234049,150,13.71573,collision
-254.93643,214,14.051873,collision
-238.993608,195,14.353803,collision
-279.39927,244,14.898262,collision
-244.41759,229,15.253173,collision
-235.103913,220,15.757968,collision
-244.292826,199,16.071127,collision
