#{"t_start": 1772323696.9002626, "env_id": "None"}
r,l,t,termination_reason
-228.114453,47,1.420858,collision
-220.103483,37,1.484537,collision
-226.795034,48,1.572557,collision
-227.876797,47,1.651907,collision
-222.48688,34,1.708209,collision
-221.14439,40,1.778953,collision
-222.268258,42,1.849027,collision
-223.444208,44,1.921188,collision
-222.69547,43,1.989265,collision
-227.434701,49,2.066714,collision
-223.515805,42,2.135217,collision
-228.551633,52,2.625535,collision
-222.678843,37,2.68762,collision
-221.854385,47,2.773628,collision
-225.093352,44,2.858522,collision
-224.805219,52,2.94719,collision
-221.165142,41,3.024467,collision
-224.861997,46,3.107745,collision
-223.362242,44,3.187536,collision
-229.247053,51,3.285988,collision
-222.044645,40,3.360939,collision
-223.286979,43,3.440601,collision
-228.044956,47,3.531753,collision
-228.342276,47,3.813251,collision
-225.988109,48,3.908405,collision
-230.857456,65,4.037964,collision
-222.823715,40,4.116138,collision
-223.850511,50,4.196647,collision
-227.183716,51,4.282124,collision
-226.496042,52,4.364331,collision
-221.202136,41,4.430615,collision
-228.302447,49,4.508363,collision
-222.34055,48,4.584747,collision
-224.874388,52,4.832093,collision
-225.16948,44,4.902,collision
-228.626116,56,4.994159,collision
-224.628813,49,5.072631,collision
-226.419305,46,5.144278,collision
-228.625407,55,5.233132,collision
-228.067369,52,5.316421,collision
-223.953696,45,5.389103,collision
-227.59205,56,5.481377,collision
-227.001072,56,5.574144,collision
-221.094223,40,5.802842,collision
-239.877631,77,5.925002,collision
-226.474636,47,5.997039,collision
-225.625455,57,6.090315,collision
-231.192509,60,6.188939,collision
-231.283019,59,6.281833,collision
-229.970402,56,6.369515,collision
-229.144074,50,6.449199,collision
-227.756275,53,6.533184,collision
-223.792622,52,6.790222,collision
-230.985926,65,6.892056,collision
-230.013301,57,6.984079,collision
-223.554712,50,7.061531,collision
-228.451842,63,7.161969,collision
-230.783947,55,7.25204,collision
-235.894757,83,7.384016,collision
-228.806512,66,7.490134,collision
-226.986642,44,7.564107,collision
-246.749772,85,7.871538,collision
-228.279826,58,7.96445,collision
-238.47832,118,8.150047,collision
-226.855461,50,8.230728,collision
-230.568468,57,8.320802,collision
-238.232548,82,8.452115,collision
-224.806059,58,8.544632,collision
-224.598742,50,8.78816,collision
-240.000834,84,8.921758,collision
-234.496376,68,9.028256,collision
-234.927253,72,9.144788,collision
-246.782859,98,9.297923,collision
-253.398842,111,9.475135,collision
-248.124212,94,9.806192,collision
-234.95528,68,9.910204,collision
-245.757937,101,10.068918,collision
-280.915553,220,10.410663,collision
-290.731431,212,10.922382,collision
-276.606166,205,11.24723,collision
-251.347899,125,11.444645,collision
-237.018997,99,11.766613,collision
-270.018581,201,12.084286,collision
-281.795236,229,12.439817,collision
-259.777798,225,12.97976,collision
-246.94903,175,13.255246,collision
-286.960316,271,13.847305,collision
-256.219126,199,14.158697,collision
-247.834045,222,14.664859,collision
-221.757634,175,14.938299,collision
-237.095818,214,15.271014,collision
-245.596353,175,15.701993,collision
-253.373502,200,16.0197,collision
-229.398459,170,16.291601,collision
-238.754859,202,16.778232,collision
-240.38623,191,17.08287,collision
-226.421994,180,17.529386,collision
-222.25526,188,17.827799,collision
-231.272495,192,18.128604,collision
-231.30146,182,18.580235,collision
-205.16391,175,18.856236,collision
-236.046201,162,19.110112,collision
-223.558011,110,19.279019,collision
-228.655043,178,19.724752,collision
-219.291666,180,20.009122,collision
-233.060813,182,20.493653,collision
-233.419921,193,20.899319,collision
-228.137689,192,21.221692,collision
-217.64657,160,21.640728,collision
-233.852404,193,21.9432,collision
-236.933375,159,22.194197,collision
-219.318939,189,22.67037,collision
-235.0906,172,22.948651,collision
-203.200937,152,23.221324,collision
-240.559947,178,23.729254,collision
-227.73789,179,24.015477,collision
-210.5752,184,24.30972,collision
-216.787622,169,24.867312,collision
-226.437954,173,25.199182,collision
-235.974979,183,25.521752,collision
-215.576642,198,26.029766,collision
-200.426876,158,26.314637,collision
-233.834824,170,26.606421,collision
-244.546012,187,27.087758,collision
-210.149955,173,27.414434,collision
-221.176595,152,27.681728,collision
-203.80624,167,28.152197,collision
-246.070662,182,28.444446,collision
-219.934928,179,28.746049,collision
-228.204743,172,29.223776,collision
-196.230825,199,29.55794,collision
-216.323247,171,29.839391,collision
-212.061314,72,30.141852,collision
-194.938869,180,30.449586,collision
-206.720663,153,30.701518,collision
-202.723043,175,31.20207,collision
-196.359205,166,31.468289,collision
-222.966952,189,31.832295,collision
-219.944482,210,32.401175,collision
-211.154932,182,32.767967,collision
-218.327667,158,33.035865,collision
-222.370442,180,33.499444,collision
-224.230248,158,33.824442,collision
-233.295549,192,34.287036,collision
-240.582884,245,34.957327,collision
-219.386985,191,35.328123,collision
218.451068,171,35.876848,success
-245.499813,203,36.234424,collision
-217.520936,177,36.611845,collision
-196.843735,170,37.087586,collision
-188.454902,174,37.427911,collision
-204.522739,174,37.712723,collision
-202.032028,177,38.258317,collision
-209.084417,218,38.611113,collision
-199.177502,188,39.110279,collision
-208.947222,201,39.427095,collision
-217.260633,221,39.781829,collision
-229.920003,186,40.244673,collision
-242.742521,139,40.466558,collision
-231.848812,103,40.634706,collision
-241.476028,131,40.842485,collision
-234.787431,104,41.175335,collision
-238.804311,153,41.42582,collision
-231.298549,95,41.604368,collision
-230.366114,121,41.801572,collision
-228.394674,88,42.119638,collision
-240.589487,137,42.343296,collision
-257.814135,165,42.617543,collision
-234.016348,109,42.793211,collision
-236.019794,146,43.198281,collision
-242.427254,154,43.440066,collision
-245.821781,171,43.715281,collision
-233.289417,183,44.173592,collision
-235.183596,152,44.436822,collision
-221.300813,170,44.717688,collision
-206.00968,123,44.919722,collision
-244.590704,187,45.380789,collision
-213.348824,173,45.655689,collision
-227.535826,138,45.877222,collision
-199.496709,173,46.32057,collision
-222.284196,177,46.60438,collision
-226.352205,180,46.88993,collision
-227.735823,170,47.317183,collision
-226.475178,186,47.615791,collision
-236.565578,178,48.061759,collision
-218.861153,191,48.361973,collision
-218.536595,147,48.597084,collision
-217.997417,142,48.82778,collision
-216.173424,177,49.286104,collision
-195.220972,157,49.547094,collision
-213.106618,156,49.814597,collision
-243.137037,194,50.292519,collision
-197.002202,174,50.651627,collision
-229.10975,154,50.96511,collision
-206.03724,154,51.384785,collision
-199.774799,169,51.661304,collision
-188.103201,170,51.927902,collision
-195.216047,168,52.371943,collision
-200.009775,107,52.546842,collision
-195.688715,149,52.78496,collision
-200.061583,111,52.96932,collision
-176.772688,152,53.379657,collision
-200.395352,138,53.598637,collision
-195.621206,145,53.854263,collision
-187.383072,137,54.250793,collision
-192.169409,133,54.466636,collision
-201.619034,146,54.717819,collision
-195.576176,101,54.880064,collision
-203.994972,161,55.313709,collision
-188.278396,137,55.530719,collision
-191.92632,145,55.76573,collision
-188.56419,144,55.997154,collision
-199.156838,136,56.378064,collision
-190.452479,149,56.61344,collision
-188.24186,160,56.868701,collision
-196.7363,105,57.214801,collision
-191.199319,155,57.49188,collision
-182.95538,148,57.73286,collision
-184.650861,151,58.00081,collision
-174.775683,142,58.394001,collision
-180.881299,143,58.620927,collision
-186.207022,157,58.868397,collision
-195.642217,170,59.300965,collision
-182.347467,152,59.538908,collision
-189.124784,164,59.800168,collision
-184.375324,148,60.202333,collision
-179.853681,144,60.429407,collision
-180.407031,136,60.646359,collision
-178.213202,146,60.878411,collision
-183.996521,146,61.276358,collision
-168.427189,138,61.49344,collision
-185.374254,156,61.745177,collision
-179.066195,141,61.971481,collision
-170.265098,132,62.341429,collision
-177.497962,149,62.583239,collision
-176.690474,139,62.804199,collision
-173.238206,135,63.185994,collision
-175.018033,136,63.39924,collision
-188.686898,149,63.634818,collision
-180.404001,142,63.863526,collision
-172.241358,130,64.236776,collision
236.111785,129,64.440428,success
-173.907641,140,64.660342,collision
-178.814655,137,64.882773,collision
237.179403,133,65.25595,success
-175.195203,147,65.485592,collision
-170.473039,129,65.689068,collision
-175.667577,147,66.094979,collision
234.521392,133,66.303357,success
239.073371,131,66.509239,success
232.129464,135,66.720127,success
236.698518,128,67.098705,success
-204.059413,61,67.198395,collision
-200.78535,83,67.331074,collision
-210.781005,66,67.436181,collision
-197.228408,62,67.530477,collision
-200.343191,77,67.657045,collision
235.389197,133,67.875961,success
239.346973,135,68.259565,success
235.549763,134,68.478572,success
238.336182,135,68.705807,success
239.053563,130,69.092516,success
-202.71721,53,69.212406,collision
-164.012426,123,69.454125,collision
-198.089709,76,69.576466,collision
-163.02559,128,69.777626,collision
-198.947206,68,69.883341,collision
241.850026,122,70.245819,success
240.212396,118,70.428485,success
-163.136616,127,70.62734,collision
245.174192,116,70.812051,success
238.02235,129,71.181486,success
-195.35409,66,71.284187,collision
243.643537,122,71.469897,success
-197.481301,73,71.582772,collision
242.169707,123,71.776284,success
-164.904199,124,72.158891,collision
239.74979,119,72.365673,success
242.183643,117,72.553867,success
243.697022,125,72.771917,success
241.488705,121,73.137449,success
241.534481,119,73.334384,success
238.195812,120,73.53915,success
241.988022,116,73.727952,success
245.064143,114,73.91891,success
242.28908,128,74.294555,success
243.214735,112,74.475248,success
243.441107,120,74.670218,success
241.863192,123,74.870215,success
-203.227873,57,75.128048,collision
243.26569,113,75.31507,success
-158.667545,124,75.513914,collision
242.683808,122,75.702913,success
-194.644109,58,75.79824,collision
-160.49731,120,76.150002,collision
240.413153,121,76.343946,success
245.643138,112,76.524836,success
-193.299161,80,76.646871,collision
243.280526,120,76.84636,success
245.957346,114,77.199351,success
251.819256,103,77.368675,success
245.493224,111,77.55811,success
248.626544,111,77.750995,success
-160.669766,122,77.942905,collision
251.486597,109,78.285795,success
-163.162898,125,78.50638,collision
246.677094,113,78.698195,success
244.715619,114,78.883689,success
249.298337,112,79.252883,success
-162.602496,118,79.448736,collision
250.287602,106,79.617231,success
249.751249,106,79.802723,success
-161.317618,115,79.991259,collision
251.020232,100,80.328536,success
-196.06455,54,80.418649,collision
-190.301372,70,80.586785,collision
247.900777,111,80.773538,success
-157.213731,116,80.960039,collision
-156.842412,114,81.328198,collision
245.932631,106,81.512597,success
247.839854,110,81.694351,success
-191.279106,66,81.797289,collision
241.5644,113,81.983014,success
249.103008,103,82.326349,success
252.21411,109,82.501295,success
248.644255,106,82.667295,success
250.847041,107,82.837652,success
247.600032,101,83.0073,success
246.917203,107,83.363019,success
250.963897,101,83.521783,success
244.455995,112,83.704654,success
-163.654147,120,83.899387,collision
249.033613,103,84.065763,success
250.944829,105,84.446235,success
243.549692,111,84.622262,success
248.778141,104,84.796772,success
252.632195,102,84.990498,success
246.976386,105,85.163,success
251.201703,102,85.490713,success
-151.061955,105,85.65989,collision
250.667523,101,85.830193,success
250.41801,102,85.992334,success
246.200967,105,86.166857,success
247.872495,102,86.502953,success
251.83437,96,86.659022,success
-155.903977,105,86.831096,collision
249.977374,101,86.991825,success
253.722006,99,87.149156,success
246.308864,96,87.469337,success
250.696183,97,87.625773,success
256.242695,95,87.78402,success
253.206459,98,87.942002,success
253.549769,98,88.097016,success
255.87202,97,88.416137,success
252.183863,92,88.560623,success
252.777466,97,88.716281,success
254.005852,96,88.879249,success
254.563444,95,89.057,success
249.245931,98,89.409088,success
254.3651,92,89.554,success
254.970296,92,89.699219,success
257.747727,91,89.847169,success
250.855256,96,90.035229,success
251.29749,92,90.178674,success
-155.41924,104,90.512635,collision
255.032164,93,90.662886,success
255.734531,92,90.810095,success
255.380304,91,90.957698,success
255.871744,90,91.101388,success
251.822019,93,91.416219,success
252.212049,92,91.564122,success
257.327101,92,91.709683,success
-148.480621,95,91.862621,collision
254.633317,93,92.010413,success
258.778371,89,92.159871,success
257.81282,91,92.494852,success
-175.519989,68,92.618598,collision
261.13284,87,92.765495,success
-171.528452,67,92.875287,collision
-175.912984,69,92.980212,collision
253.941069,91,93.125091,success
255.024035,91,93.450289,success
254.640797,91,93.591699,success
261.001154,87,93.726618,success
258.213013,93,93.874108,success
256.085062,91,94.020513,success
254.220098,88,94.160858,success
254.377176,89,94.46976,success
253.639082,91,94.636996,success
255.849212,89,94.777156,success
256.041911,89,94.925136,success
254.719442,91,95.086562,success
257.396033,89,95.229283,success
259.963328,85,95.528716,success
256.8929,86,95.668927,success
259.262609,86,95.806321,success
254.062802,89,95.94666,success
256.33736,89,96.089535,success
254.801411,86,96.230793,success
256.579348,88,96.546743,success
257.080695,88,96.686799,success
256.901554,88,96.828406,success
257.814872,87,96.968284,success
255.095447,87,97.108635,success
256.196624,90,97.419433,success
260.118588,84,97.554768,success
256.033815,88,97.694331,success
257.180128,85,97.832073,success
253.647824,87,97.974084,success
260.23265,84,98.1108,success
256.461818,86,98.410525,success
258.893227,82,98.54298,success
260.928103,85,98.681304,success
258.519573,84,98.822936,success
256.205566,86,98.966232,success
256.638725,84,99.101156,success
258.468871,83,99.415504,success
256.809603,89,99.558143,success
259.741574,83,99.70716,success
259.256586,85,99.851095,success
256.408236,85,99.987671,success
259.79095,87,100.130251,success
260.316818,81,100.432827,success
258.579127,81,100.567828,success
256.479772,81,100.696949,success
260.322614,82,100.831912,success
260.551248,84,100.968184,success
261.317639,82,101.102917,success
256.447359,84,101.237367,success
264.074894,81,101.539147,success
260.677951,84,101.672377,success
262.848609,82,101.804312,success
260.252086,83,101.935916,success
257.764339,83,102.067932,success
257.966137,81,102.208859,success
258.549737,79,102.511034,success
259.304127,81,102.638581,success
260.955131,80,102.764269,success
260.938333,79,102.891748,success
258.551235,80,103.018223,success
257.966821,82,103.149621,success
258.621365,82,103.447217,success
257.982207,79,103.577124,success
260.303717,80,103.703079,success
255.55933,83,103.837802,success
259.646855,81,103.965319,success
263.027946,80,104.091755,success
259.332009,79,104.222191,success
262.950667,81,104.510926,success
258.892197,80,104.638861,success
258.355136,80,104.766127,success
257.361934,79,104.892869,success
260.94676,82,105.026279,success
258.078902,81,105.158845,success
260.038974,78,105.445573,success
262.043191,82,105.574673,success
260.626889,79,105.697785,success
262.085387,78,105.823803,success
260.380692,84,105.958276,success
263.449066,77,106.081236,success
261.506062,79,106.369263,success
261.784122,80,106.492737,success
263.846914,75,106.616662,success
262.606117,77,106.743741,success
260.945163,78,106.867563,success
260.016902,77,106.991337,success
262.915557,77,107.114753,success
258.904846,80,107.407354,success
260.729528,78,107.528244,success
265.534947,76,107.651238,success
259.864947,77,107.775265,success
259.264325,76,107.898042,success
262.77066,76,108.017571,success
260.127074,76,108.136726,success
262.151144,77,108.425136,success
258.933474,80,108.549003,success
262.263513,77,108.674772,success
264.47155,75,108.795801,success
261.855431,75,108.933522,success
259.319238,80,109.058136,success
261.362117,77,109.348695,success
261.059287,76,109.467327,success
260.708529,77,109.588377,success
261.459467,76,109.709135,success
261.559487,76,109.830112,success
260.024516,76,109.951346,success
261.645102,75,110.068169,success
263.442646,74,110.351098,success
263.205843,76,110.502476,success
260.848344,75,110.654373,success
261.687631,79,110.78323,success
259.39871,73,110.901575,success
263.284883,75,111.023075,success
263.89619,75,111.143497,success
258.31307,78,111.441867,success
261.108209,78,111.564646,success
262.875573,74,111.683244,success
262.82972,74,111.801813,success
264.94468,75,111.921857,success
260.862974,78,112.046668,success
264.135775,78,112.1713,success
260.86523,78,112.463336,success
265.004224,75,112.584383,success
261.595733,74,112.702327,success
260.354078,79,112.827541,success
259.97338,75,112.946465,success
262.314838,74,113.065375,success
261.667215,75,113.351785,success
262.611747,75,113.469738,success
264.044665,76,113.592672,success
260.724278,73,113.709015,success
263.159959,73,113.825647,success
262.380702,75,113.94694,success
262.267626,76,114.067398,success
262.190548,73,114.35052,success
263.404396,72,114.465535,success
261.938053,73,114.581137,success
264.564926,73,114.697248,success
260.195232,76,114.819198,success
262.189356,78,114.943445,success
264.600064,75,115.064564,success
263.395107,75,115.344642,success
263.156902,72,115.458982,success
266.594977,74,115.572802,success
265.160303,76,115.695858,success
263.836144,74,115.813921,success
261.560432,72,115.927769,success
263.122865,75,116.045802,success
264.938335,72,116.332047,success
267.115717,71,116.445426,success
263.888998,75,116.567094,success
262.409375,72,116.685838,success
261.663719,71,116.798579,success
265.644278,71,116.90961,success
265.085957,71,117.020295,success
265.247181,72,117.305296,success
260.465153,71,117.423119,success
266.856434,71,117.537403,success
262.772832,73,117.653476,success
266.443256,71,117.766529,success
264.414434,72,117.881383,success
266.02875,70,117.996841,success
263.007681,72,118.273868,success
263.483133,71,118.385813,success
264.435374,70,118.49988,success
267.080932,71,118.607619,success
264.948682,70,118.717605,success
266.187433,71,118.834141,success
263.211501,73,118.951301,success
263.756103,72,119.067163,success
265.776953,70,119.349576,success
262.497746,71,119.463624,success
