#{"t_start": 1772323696.7503476, "env_id": "None"}
r,l,t,termination_reason
-226.884345,44,1.565242,collision
-223.093788,41,1.635939,collision
-227.219622,48,1.724333,collision
-231.812049,56,1.817507,collision
-221.997555,37,1.881131,collision
-227.75123,52,1.969898,collision
-230.472811,55,2.062213,collision
-223.215325,48,2.13733,collision
-226.498769,41,2.202208,collision
-228.374364,50,2.282512,collision
-222.45391,42,2.757264,collision
-223.846365,41,2.823964,collision
-225.060304,46,2.909003,collision
-224.438534,42,2.989997,collision
-223.455715,39,3.054876,collision
-229.564606,45,3.137216,collision
-224.197805,51,3.232185,collision
-223.113935,40,3.306025,collision
-226.146488,51,3.401048,collision
-223.844075,41,3.478113,collision
-225.82208,43,3.560465,collision
-227.614492,49,3.648266,collision
-222.090629,46,3.932353,collision
-226.127541,47,4.025362,collision
-228.428019,47,4.115283,collision
-224.482624,45,4.206071,collision
-219.524171,37,4.279118,collision
-222.42751,43,4.346486,collision
-221.774046,42,4.41684,collision
-224.78561,48,4.493784,collision
-224.592537,41,4.558187,collision
-224.04508,49,4.636394,collision
-219.353005,41,4.70372,collision
-225.167497,46,4.77699,collision
-230.637644,56,5.029924,collision
-225.949061,51,5.113577,collision
-226.865221,43,5.18456,collision
-225.937597,51,5.261963,collision
-223.895374,56,5.353376,collision
-227.493899,51,5.434931,collision
-228.23147,50,5.515272,collision
-224.175887,48,5.595718,collision
-225.268158,49,5.673368,collision
-226.143545,45,5.748476,collision
-230.15221,56,6.001692,collision
-225.520587,55,6.089186,collision
-227.773564,48,6.164547,collision
-223.801649,54,6.251599,collision
-235.466842,70,6.364649,collision
-236.437297,76,6.485207,collision
-224.902065,44,6.55453,collision
-225.263258,54,6.640716,collision
-226.421741,53,6.724545,collision
-236.346613,64,7.000182,collision
-225.080582,46,7.072052,collision
-229.146409,55,7.159207,collision
-226.94449,47,7.234074,collision
-232.879998,64,7.335936,collision
-241.523211,89,7.480582,collision
-230.589122,65,7.581244,collision
-231.578638,65,7.690337,collision
-223.933576,54,7.948695,collision
-227.880043,57,8.039939,collision
-226.240812,61,8.138556,collision
-226.088955,55,8.223881,collision
-231.548983,65,8.32716,collision
-228.814385,51,8.408216,collision
-232.102129,79,8.533666,collision
-225.601275,57,8.62737,collision
-239.269336,79,8.91341,collision
-243.322576,110,9.089592,collision
-230.543288,72,9.203702,collision
-251.345046,120,9.393583,collision
-234.909254,80,9.520328,collision
-227.867139,60,9.616257,collision
-238.633278,92,9.944647,collision
-234.551965,76,10.06158,collision
-261.077516,158,10.309263,collision
-244.471952,95,10.455711,collision
-237.487829,104,10.619151,collision
-252.321795,186,11.089294,collision
-262.007095,187,11.386381,collision
-271.032729,187,11.846471,collision
-259.595897,212,12.183224,collision
-267.615726,226,12.531979,collision
-254.428511,174,12.992699,collision
-274.548171,237,13.36496,collision
-284.501548,248,13.919204,collision
-235.024108,196,14.228087,collision
-239.030377,241,14.761739,collision
-240.507072,235,15.131821,collision
-244.552323,209,15.454766,collision
-251.410827,188,15.909439,collision
-261.507312,238,16.284166,collision
-252.215082,192,16.754774,collision
-216.388129,182,17.050185,collision
-227.436251,180,17.333717,collision
-242.831848,199,17.810187,collision
-237.175547,181,18.098463,collision
-227.61888,197,18.408431,collision
-228.245965,175,18.848866,collision
-217.580437,182,19.132567,collision
-212.472964,138,19.346451,collision
-229.655492,178,19.790637,collision
-233.760547,173,20.063044,collision
-217.41623,156,20.31042,collision
-228.379105,186,20.906631,collision
-253.086557,200,21.238296,collision
-221.271359,153,21.479937,collision
-213.127157,178,21.928025,collision
-245.945971,207,22.252918,collision
-239.098862,186,22.720936,collision
-244.235992,164,22.983565,collision
-208.80997,169,23.277825,collision
-236.642153,185,23.805513,collision
-218.285619,160,24.059858,collision
-212.889349,166,24.331229,collision
-224.127553,180,24.878241,collision
-216.234971,197,25.269295,collision
-220.635183,169,25.564799,collision
-205.984746,182,26.055607,collision
-233.675634,152,26.306767,collision
-216.552107,181,26.637902,collision
-208.475717,160,27.07222,collision
-222.344727,188,27.411963,collision
-211.223832,159,27.692138,collision
-219.043144,167,28.173871,collision
-228.269822,162,28.436695,collision
-213.311326,164,28.703349,collision
-223.609217,188,29.197263,collision
-213.132636,187,29.522183,collision
-214.007282,186,29.829592,collision
-225.29601,176,30.31188,collision
-217.751198,201,30.651102,collision
-196.140889,161,30.914586,collision
-234.90453,210,31.468765,collision
-200.816767,178,31.768305,collision
-211.235864,173,32.094649,collision
-212.538163,179,32.647193,collision
-211.3995,179,32.98133,collision
-221.821513,186,33.466664,collision
-217.389833,151,33.72062,collision
-207.939363,165,34.053958,collision
-216.329236,190,34.694401,collision
-204.075858,172,35.039265,collision
-209.098113,187,35.41339,collision
-232.663331,194,36.00088,collision
-208.385742,204,36.364674,collision
-208.780069,199,36.791493,collision
-214.760294,178,37.268132,collision
-203.317027,184,37.626285,collision
-202.568288,190,37.959874,collision
-225.598039,221,38.548531,collision
-204.705331,204,38.881859,collision
-208.780142,206,39.403718,collision
213.666207,170,39.674184,success
-201.552356,183,39.969447,collision
-241.894452,183,40.426202,collision
-246.202198,136,40.646721,collision
-229.854968,95,40.798658,collision
-239.657328,140,41.023049,collision
-238.816062,154,41.431914,collision
-251.565385,164,41.723734,collision
-248.932547,165,41.997362,collision
-227.285039,61,42.271055,collision
-254.209168,170,42.546107,collision
-250.943437,162,42.818019,collision
-242.224696,118,43.00845,collision
-246.494236,158,43.428097,collision
-236.753989,191,43.728454,collision
-220.811685,182,44.027359,collision
-244.882707,150,44.431692,collision
-241.604476,201,44.771666,collision
-243.671904,152,45.028811,collision
-233.555221,137,45.416264,collision
-229.969596,192,45.71594,collision
-227.905368,181,46.006856,collision
-235.53691,166,46.439446,collision
-223.059097,156,46.687963,collision
-220.035095,176,46.969416,collision
-230.1195,169,47.395784,collision
-205.719938,104,47.560017,collision
-209.715019,188,47.859707,collision
-212.772297,165,48.28453,collision
-243.324373,174,48.560682,collision
-220.224325,176,48.84159,collision
-231.095605,158,49.271442,collision
-198.66485,163,49.542336,collision
-199.146975,157,49.800375,collision
-217.363892,164,50.244038,collision
-222.965324,180,50.533095,collision
-217.775309,205,50.96347,collision
-212.1208,185,51.476345,collision
-197.457334,164,51.73972,collision
-193.643221,160,51.997004,collision
-195.864804,147,52.405648,collision
-195.035045,159,52.660537,collision
-190.490948,151,52.906474,collision
-191.008439,157,53.16208,collision
-169.538553,147,53.562104,collision
-181.338999,147,53.795794,collision
-196.6275,142,54.052958,collision
-189.618819,160,54.485532,collision
-196.442016,141,54.709312,collision
-175.290266,146,54.960893,collision
-184.747587,145,55.194961,collision
-193.660621,162,55.626757,collision
-184.671951,147,55.865204,collision
-203.640254,136,56.084448,collision
-187.311646,161,56.505574,collision
-188.458649,153,56.747432,collision
-189.849275,156,56.99669,collision
-190.105765,146,57.41482,collision
-184.288022,146,57.672171,collision
-195.775544,101,57.834197,collision
-191.500934,146,58.095519,collision
-187.288861,151,58.504037,collision
-193.158602,160,58.757209,collision
-186.131602,149,58.994354,collision
-186.40508,145,59.386733,collision
-179.127566,145,59.612657,collision
-175.375264,135,59.827319,collision
-176.765303,140,60.051554,collision
-178.571865,145,60.447845,collision
-189.985382,107,60.616159,collision
-175.299263,139,60.839034,collision
-181.112536,151,61.077662,collision
-185.177956,103,61.406575,collision
-176.411134,145,61.634891,collision
-174.006823,136,61.854639,collision
-170.631191,133,62.068848,collision
-177.205904,145,62.461501,collision
-174.528737,144,62.691538,collision
-176.8146,137,62.907247,collision
-178.77914,146,63.307614,collision
-170.386978,135,63.521401,collision
-171.918504,146,63.753163,collision
236.125655,129,63.959565,success
-178.423809,145,64.360478,collision
241.276507,130,64.56356,success
-175.533787,144,64.789526,collision
-167.650182,129,64.999676,collision
234.527367,140,65.384579,success
-172.728297,144,65.607287,collision
233.686334,141,65.831233,success
238.635852,134,66.041014,success
238.614532,130,66.420171,success
-174.866664,132,66.627529,collision
235.171595,139,66.84445,success
-161.62512,125,67.219519,collision
-169.945564,140,67.443392,collision
-163.278939,136,67.657024,collision
-173.666384,139,67.884228,collision
230.30096,133,68.272263,success
236.97028,131,68.476151,success
240.227664,129,68.690318,success
-161.499901,123,68.895635,collision
241.848028,123,69.284466,success
237.645603,124,69.552868,success
238.287223,118,69.740043,success
-185.230359,82,69.869512,collision
240.144247,125,70.066337,success
-205.327786,49,70.313669,collision
238.912759,127,70.510388,success
246.285711,115,70.686317,success
237.559669,125,70.887724,success
241.519276,121,71.075289,success
-202.621086,56,71.33312,collision
240.208166,123,71.521927,success
245.705329,118,71.703743,success
-177.458603,128,71.904191,collision
-200.322998,65,72.004775,collision
247.023994,114,72.385643,success
242.434709,116,72.577906,success
237.661511,128,72.782496,success
-165.593679,121,72.998215,collision
242.709249,120,73.355675,success
242.485859,115,73.552123,success
245.639822,116,73.748583,success
243.3846,117,73.936525,success
247.895182,111,74.291047,success
242.879295,118,74.484431,success
244.05125,114,74.665679,success
240.098116,119,74.859411,success
246.122906,116,75.048793,success
-159.720918,120,75.414537,collision
243.452638,118,75.602574,success
244.691341,124,75.79758,success
242.490976,119,75.988416,success
244.827772,119,76.337746,success
-200.39814,62,76.437217,collision
-202.444597,53,76.523206,collision
245.32168,122,76.719234,success
251.404577,107,76.889277,success
253.345806,108,77.065595,success
-200.740527,58,77.328786,collision
242.855809,112,77.51117,success
245.729969,112,77.702566,success
-153.563315,111,77.896325,collision
249.897263,112,78.072911,success
241.875054,110,78.415884,success
247.358675,106,78.587522,success
245.269796,109,78.791368,success
247.289995,109,78.968608,success
249.175358,110,79.339086,success
244.960355,112,79.514713,success
-167.485511,125,79.720217,collision
241.734807,112,79.914505,success
247.797398,107,80.089932,success
245.930363,114,80.452821,success
248.036182,110,80.670029,success
248.715957,111,80.873544,success
246.334908,109,81.050104,success
246.469071,108,81.405352,success
246.179575,106,81.58689,success
245.80254,113,81.776641,success
-188.260837,76,81.898666,collision
247.524055,107,82.072197,success
246.014432,109,82.426381,success
247.725341,110,82.602769,success
246.709015,107,82.77233,success
254.145411,107,82.939475,success
250.146307,102,83.109509,success
248.468138,104,83.453878,success
247.633125,102,83.624787,success
250.655709,103,83.789769,success
248.207308,104,83.962535,success
250.95443,103,84.126244,success
248.504941,103,84.482912,success
249.369467,106,84.676329,success
251.185254,104,84.839373,success
247.403612,103,85.028908,success
248.143557,109,85.222185,success
245.567904,106,85.555264,success
252.857685,101,85.718619,success
252.167469,101,85.885242,success
249.992085,102,86.052175,success
248.540294,103,86.215301,success
248.091642,109,86.568613,success
253.088133,96,86.724327,success
251.270161,96,86.885116,success
251.924716,101,87.042707,success
254.684639,96,87.196609,success
249.756947,101,87.525703,success
254.016013,98,87.681687,success
250.453419,103,87.852067,success
252.786028,95,88.004589,success
252.006963,97,88.163352,success
255.3792,97,88.316123,success
257.058553,93,88.626331,success
256.861539,95,88.775906,success
251.282567,100,88.938995,success
254.999243,91,89.102531,success
252.156405,96,89.280062,success
253.354096,94,89.619422,success
256.147315,92,89.762594,success
254.927424,93,89.909233,success
253.295424,95,90.071132,success
256.889389,94,90.244709,success
257.393298,92,90.558351,success
250.08145,96,90.71451,success
256.686336,88,90.856887,success
253.320322,91,91.000956,success
251.776548,94,91.15284,success
254.702351,92,91.300966,success
256.764013,92,91.612672,success
253.933042,90,91.757586,success
253.582189,90,91.90099,success
255.753993,87,92.040273,success
254.932168,90,92.18394,success
257.142439,94,92.346229,success
255.935093,92,92.684215,success
259.632058,87,92.840704,success
254.137624,91,92.986933,success
256.616013,92,93.129853,success
250.505031,98,93.285731,success
253.922535,90,93.609632,success
257.351814,93,93.752981,success
254.818081,90,93.893176,success
256.718115,86,94.032512,success
254.281139,93,94.179911,success
257.848766,88,94.319609,success
252.505186,95,94.642363,success
257.301177,88,94.802336,success
252.458093,96,94.954427,success
258.572037,89,95.104037,success
254.241581,89,95.262524,success
256.612931,87,95.396738,success
255.535711,88,95.703837,success
254.723226,88,95.847787,success
254.952199,88,95.985664,success
256.984463,87,96.123948,success
258.172126,89,96.267339,success
257.500269,85,96.581473,success
258.890931,86,96.718759,success
256.157926,85,96.854009,success
258.43623,89,96.996386,success
254.131845,89,97.141008,success
254.148503,89,97.28595,success
258.081961,90,97.595887,success
257.857417,89,97.736518,success
258.702723,88,97.876847,success
256.17625,88,98.019929,success
260.142577,85,98.159045,success
259.536253,84,98.295742,success
258.882809,86,98.596746,success
258.017061,85,98.732481,success
259.004304,85,98.870479,success
255.669729,87,99.022537,success
259.13213,87,99.164626,success
262.233906,84,99.300293,success
254.710109,87,99.617738,success
255.856276,83,99.750023,success
260.212703,83,99.904804,success
256.427849,85,100.044747,success
260.088223,85,100.180888,success
257.737204,84,100.319071,success
260.860005,83,100.627167,success
261.159507,83,100.761958,success
258.478255,86,100.902974,success
259.057533,84,101.03688,success
258.596871,82,101.176351,success
258.265388,82,101.305754,success
255.776865,84,101.6106,success
256.099698,81,101.741627,success
260.497954,83,101.874812,success
261.465316,80,102.001664,success
261.451465,82,102.135106,success
259.720552,84,102.269325,success
258.476587,84,102.412776,success
260.158774,83,102.717543,success
260.053486,80,102.84642,success
263.957235,79,102.971495,success
261.638582,81,103.100268,success
260.448407,79,103.224768,success
262.469129,79,103.355529,success
258.999531,82,103.653151,success
259.717332,78,103.777289,success
261.215452,81,103.909125,success
261.71488,78,104.031675,success
260.626797,81,104.160794,success
263.201893,80,104.288378,success
260.897805,82,104.584677,success
257.345801,79,104.708359,success
262.684565,80,104.835529,success
265.214748,79,104.958845,success
262.823999,80,105.089218,success
259.268095,80,105.219351,success
262.248264,78,105.345827,success
260.666884,80,105.635541,success
259.902502,76,105.754036,success
256.878396,82,105.884924,success
258.771762,80,106.01548,success
256.710152,82,106.14328,success
258.754084,83,106.276021,success
259.958323,79,106.564082,success
261.192442,84,106.697271,success
264.702388,78,106.826977,success
258.566171,79,106.952441,success
261.228211,78,107.079773,success
261.997888,78,107.206778,success
262.571888,78,107.328346,success
260.011619,77,107.614834,success
262.095018,79,107.740558,success
262.570808,79,107.866711,success
263.265229,76,107.989147,success
259.545927,78,108.114702,success
264.211429,79,108.238627,success
260.624167,76,108.52375,success
264.112977,78,108.64649,success
263.787397,77,108.767593,success
262.354087,78,108.89259,success
257.77911,76,109.03455,success
263.406451,78,109.158329,success
260.047954,77,109.278074,success
261.383145,75,109.565629,success
262.980002,74,109.681772,success
260.28431,76,109.801763,success
263.291509,76,109.922489,success
260.643591,75,110.043298,success
262.332958,75,110.160923,success
261.744242,76,110.282053,success
259.060316,80,110.575898,success
259.504747,81,110.762936,success
259.379865,76,110.887794,success
260.910545,76,111.010994,success
264.335288,75,111.131116,success
259.251252,78,111.259287,success
258.440837,75,111.55029,success
261.008559,81,111.68036,success
262.319013,76,111.800647,success
265.121531,76,111.923987,success
261.603238,77,112.045084,success
264.770746,76,112.168187,success
263.138232,77,112.290075,success
262.569665,76,112.581199,success
263.8957,75,112.702768,success
265.907131,76,112.823684,success
256.762382,75,112.939819,success
263.423916,74,113.058819,success
261.680853,73,113.175671,success
258.793332,74,113.294189,success
262.357836,78,113.584068,success
263.086899,73,113.701231,success
259.478137,74,113.820004,success
261.529347,78,113.943926,success
261.598963,74,114.061291,success
263.695538,75,114.182627,success
263.227654,75,114.467103,success
260.437555,77,114.589749,success
263.886041,75,114.711307,success
265.229108,74,114.827166,success
267.023181,72,114.943483,success
263.25274,75,115.063473,success
265.110856,74,115.18156,success
262.789425,76,115.465383,success
263.138055,73,115.580725,success
265.464127,74,115.693976,success
263.855718,71,115.808195,success
259.791118,74,115.930892,success
264.243061,73,116.043052,success
264.347311,73,116.158272,success
263.484531,73,116.447083,success
262.789086,73,116.563102,success
266.116919,74,116.681734,success
264.40814,73,116.800898,success
262.098908,75,116.92038,success
262.99914,73,117.036887,success
262.180465,75,117.152469,success
262.462647,72,117.437712,success
265.418028,73,117.558796,success
262.330431,70,117.671687,success
266.437741,71,117.784794,success
